Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",27y 322d,163 (68-2-93 42.33%),61 (0.37),132 (65-2-65 50.00%),49 (0.37)
8,"Bianco, Trent",20y 200d,10 (4-0-6 40.00%),7 (0.70),←,
14,"Cameron, Darcy",26y 21d,27 (10-1-16 38.89%),24 (0.89),26 (10-1-15 40.38%),24 (0.92)
25,"Crisp, Jack",27y 310d,173 (84-2-87 49.13%),51 (0.29),155 (77-2-76 50.32%),41 (0.26)
2,"de Goey, Jordan",25y 146d,116 (58-2-56 50.86%),153 (1.32),←,
5,"Elliott, Jamie",28y 352d,134 (76-2-56 57.46%),195 (1.46),←,
33,"Ginnivan, Jack",18y 242d,3 (1-0-2 33.33%),4 (1.33),←,
4,"Grundy, Brodie",27y 115d,169 (86-2-81 51.48%),58 (0.34),←,
35,"Henry, Oliver",19y 10d,8 (3-0-5 37.50%),6 (0.75),←,
32,"Hoskin-Elliott, Will",27y 340d,155 (66-2-87 43.23%),144 (0.93),103 (54-2-47 53.40%),102 (0.99)
38,"Howe, Jeremy",31y 40d,194 (71-2-121 37.11%),90 (0.46),94 (49-2-43 53.19%),10 (0.11)
18,"Macrae, Finlay",19y 148d,8 (1-0-7 12.50%),1 (0.13),←,
44,"Madgen, Jack",28y 105d,38 (19-1-18 51.32%),1 (0.03),←,
37,"Maynard, Brayden",24y 322d,136 (65-2-69 48.53%),16 (0.12),←,
16,"Mayne, Chris",32y 279d,246 (135-2-109 55.28%),207 (0.84),74 (40-1-33 54.73%),11 (0.15)
31,"McCreery, Beau",20y 111d,11 (2-0-9 18.18%),11 (1.00),←,
41,"Mihocek, Brody",28y 185d,78 (42-1-35 54.49%),123 (1.58),←,
9,"Noble, John",24y 136d,42 (19-1-22 46.43%),4 (0.10),←,
3,"Quaynor, Isaac",21y 205d,35 (13-0-22 37.14%),1 (0.03),←,
23,"Roughead, Jordan",30y 278d,198 (95-1-102 48.23%),35 (0.18),60 (32-1-27 54.17%),1 (0.02)
21,"Ruscoe, Trey",19y 278d,12 (6-0-6 50.00%),7 (0.58),←,
22,"Sidebottom, Steele",30y 218d,262 (155-4-103 59.92%),174 (0.66),←,
24,"Thomas, Josh",29y 311d,121 (70-2-49 58.68%),98 (0.81),←,
Totals,Totals,25y 267d,2339 (1149-29-1161 49.12%),1471 (0.63),,
C,"Harvey, Robert",49y 352d,7 (2-0-5 28.57%),,←,
