Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
14,"Armstrong, Matt",26y 117d,102 (42-0-60 41.18%),52 (0.51),←,
34,"Boyd, Brad",21y 320d,8 (3-0-5 37.50%),2 (0.25),←,
17,"Broderick, Paul",23y 174d,85 (34-0-51 40.00%),78 (0.92),←,
22,"Caven, Peter",23y 41d,37 (15-0-22 40.54%),17 (0.46),←,
2,"Dundas, Matthew",21y 201d,68 (22-0-46 32.35%),59 (0.87),←,
18,"Dunstan, Michael",22y 106d,12 (5-0-7 41.67%),8 (0.67),←,
28,"Elliott, Jamie",20y 140d,38 (13-0-25 34.21%),6 (0.16),←,
6,"Guard, Jeremy",22y 350d,34 (14-0-20 41.18%),9 (0.26),←,
19,"Harding, Dean",21y 259d,18 (6-0-12 33.33%),24 (1.33),←,
26,"Johnston, David",24y 77d,53 (24-0-29 45.28%),7 (0.13),12 (3-0-9 25.00%),1 (0.08)
11,"Lynch, Alastair",25y 7d,112 (39-0-73 34.82%),130 (1.16),←,
29,"Lyon, Ross",26y 230d,102 (32-0-70 31.37%),92 (0.90),←,
30,"Manson, James",26y 236d,131 (74-3-54 57.63%),110 (0.84),11 (4-0-7 36.36%),4 (0.36)
25,"McCarthy, John",26y 88d,103 (42-1-60 41.26%),132 (1.28),11 (4-0-7 36.36%),31 (2.82)
4,"Paxman, Stephen",22y 204d,36 (13-0-23 36.11%),5 (0.14),←,
3,"Seecamp, Marcus",20y 334d,33 (14-0-19 42.42%),4 (0.12),←,
33,"Stephens, Brett",32y 126d,132 (48-0-84 36.36%),52 (0.39),←,
12,"Wheildon, Darren",22y 227d,52 (19-0-33 36.54%),121 (2.33),←,
8,"Wynd, Jim",28y 227d,107 (40-0-67 37.38%),48 (0.45),←,
16,"Zanotti, Mark",28y 230d,112 (33-0-79 29.46%),14 (0.13),12 (5-0-7 41.67%),3 (0.25)
Totals,Totals,24y 148d,1375 (532-4-839 38.69%),970 (0.71),,
C,"Shaw, Robert",38y 171d,56 (18-0-38 32.14%),,←,
