Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
3,"Bizzell, Clint",26y 16d,88 (40-1-47 46.02%),73 (0.83),13 (8-0-5 61.54%),1 (0.08)
25,"Brown, Nathan",25y 334d,46 (23-0-23 50.00%),15 (0.33),←,
32,"Bruce, Cameron",22y 287d,56 (31-0-25 55.36%),63 (1.13),←,
4,"Ellis, Craig",27y 40d,119 (63-1-55 53.36%),7 (0.06),12 (7-0-5 58.33%),1 (0.08)
18,"Green, Brad",21y 123d,55 (31-0-24 56.36%),85 (1.55),←,
16,"Johnstone, Travis",21y 362d,60 (29-0-31 48.33%),47 (0.78),←,
11,"Jolly, Darren",20y 250d,13 (8-0-5 61.54%),6 (0.46),←,
29,"Lamb, Chris",21y 125d,9 (5-0-4 55.56%),1 (0.11),←,
36,"Leoncelli, Andrew",27y 362d,121 (57-0-64 47.11%),59 (0.49),←,
23,"McDonald, James",25y 282d,88 (45-0-43 51.14%),30 (0.34),←,
9,"Neitz, David",27y 173d,195 (91-0-104 46.67%),326 (1.67),←,
7,"Powell, Stephen",25y 310d,67 (42-1-24 63.43%),59 (0.88),37 (23-0-14 62.16%),38 (1.03)
24,"Robertson, Russell",23y 232d,91 (48-0-43 52.75%),133 (1.46),←,
19,"Vardy, Peter",26y 169d,108 (56-0-52 51.85%),171 (1.58),12 (8-0-4 66.67%),21 (1.75)
42,"Walsh, Peter",25y 355d,66 (35-0-31 53.03%),15 (0.23),←,
10,"Ward, Daniel",25y 5d,59 (26-0-33 44.07%),20 (0.34),←,
31,"Wheatley, Paul",21y 93d,37 (22-0-15 59.46%),16 (0.43),←,
45,"Whelan, Matthew",22y 243d,40 (22-0-18 55.00%),4 (0.10),←,
34,"White, Jeff",25y 145d,136 (67-0-69 49.26%),63 (0.46),104 (54-0-50 51.92%),45 (0.43)
26,"Williams, Luke",22y 197d,21 (12-0-9 57.14%),5 (0.24),←,
22,"Woewodin, Shane",26y 2d,129 (60-0-69 46.51%),57 (0.44),←,
13,"Yze, Adem",24y 296d,156 (71-0-85 45.51%),112 (0.72),←,
Totals,Totals,24y 167d,1760 (884-3-873 50.23%),1367 (0.78),,
C,"Daniher, Neale",41y 149d,109 (57-0-52 52.29%),,←,
