Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Beams, Dayne",18,1,16,34,3,,,3.0,2.0,8.0,6.0,4.0,1.0,1.0,3.0,12.0,21.0,,,1.0,,2.0,83.0
11,"Blair, Jarryd",8,3,12,20,2,,,5.0,2.0,3.0,5.0,2.0,1.0,,,11.0,9.0,,1.0,1.0,1.0,,87.0
16,"Brown, Nathan",8,5,7,15,,,,1.0,4.0,,1.0,1.0,,,,7.0,8.0,1.0,,4.0,,,83.0
27,"Buckley, Simon",12,4,10,22,,,,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,5.0,16.0,,,2.0,,,85.0
9 ↓,"Clarke, Martin",6,3,6,12,,,,,,,,4.0,,1.0,,3.0,7.0,1.0,,1.0,,,74.0
32,"Cloke, Travis",9,6,2,11,5,1.0,,2.0,,2.0,,2.0,,1.0,2.0,7.0,4.0,3.0,5.0,2.0,,,95.0
31,"Dawes, Chris",5,3,6,11,,2.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,3.0,8.0,1.0,1.0,,,,92.0
35,"Elliott, Jamie",12,9,3,15,,1.0,,4.0,,2.0,,2.0,1.0,,,8.0,7.0,4.0,1.0,,,1.0,70.0
1,"Fasolo, Alex",11,6,5,16,2,,,2.0,1.0,3.0,,1.0,,1.0,,3.0,13.0,1.0,,,,,85.0
6,"Goldsack, Tyson",4,1,6,10,,3.0,,2.0,,3.0,,1.0,3.0,,,6.0,4.0,,,1.0,,1.0,89.0
18,"Jolly, Darren",5,4,11,16,,,23.0,1.0,,,4.0,4.0,1.0,2.0,,10.0,7.0,,,3.0,,1.0,87.0
8,"Lumumba, Heritier",9,2,6,15,,1.0,,1.0,2.0,2.0,1.0,2.0,,1.0,,6.0,9.0,1.0,,6.0,1.0,,91.0
5,"Maxwell, Nick",11,6,10,21,,,1.0,5.0,2.0,4.0,1.0,1.0,,1.0,,5.0,15.0,,,6.0,1.0,,91.0
20,"Reid, Ben",5,5,8,13,,,,1.0,2.0,,,,1.0,,,4.0,9.0,,,4.0,1.0,,85.0
39,"Shaw, Heath",15,4,6,21,,,,3.0,3.0,,,2.0,,,,6.0,14.0,1.0,,4.0,,,86.0
22,"Sidebottom, Steele",15,2,10,25,,2.0,,2.0,5.0,3.0,3.0,1.0,,,,7.0,19.0,,,2.0,3.0,1.0,84.0
36,"Swan, Dane",21,11,17,38,,1.0,,1.0,5.0,2.0,7.0,5.0,,1.0,1.0,10.0,27.0,2.0,2.0,1.0,4.0,1.0,89.0
13,"Thomas, Dale",9,3,12,21,,,,6.0,1.0,3.0,3.0,2.0,1.0,1.0,,11.0,10.0,,,,3.0,,84.0
34,"Toovey, Alan",3,,5,8,,,,8.0,2.0,,,2.0,2.0,,,7.0,3.0,,,4.0,1.0,,86.0
21,"Wellingham, Sharrod",10,5,6,16,,1.0,,5.0,,4.0,4.0,1.0,1.0,,,5.0,12.0,1.0,,1.0,,,92.0
46,"Williams, Marley",13,2,,13,,,,4.0,5.0,1.0,,2.0,,,,5.0,8.0,,,3.0,2.0,,69.0
25 ↑,"Young, Tom",,,1,1,,,,2.0,,,,,,,,1.0,,,,1.0,,,10.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,85,165,374,12,13.0,26.0,60.0,40.0,43.0,36.0,45.0,14.0,12.0,6.0,142.0,230.0,16.0,10.0,47.0,17.0,7.0,
Opposition,Opposition,197,95,168,365,12,10.0,44.0,58.0,24.0,52.0,36.0,35.0,12.0,14.0,,135.0,238.0,14.0,10.0,48.0,7.0,9.0,
