Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",21y 225d,78 (44-0-34 56.41%),72 (0.92),←,
5,"Boyd, Matthew",34y 314d,291 (146-2-143 50.52%),85 (0.29),←,
12,"Cordy, Zaine",20y 253d,23 (14-0-9 60.87%),8 (0.35),←,
6,"Dahlhaus, Luke",24y 320d,130 (61-0-69 46.92%),102 (0.78),←,
31,"Dale, Bailey",20y 350d,23 (11-0-12 47.83%),14 (0.61),←,
35,"Daniel, Caleb",21y,47 (29-0-18 61.70%),21 (0.45),←,
22,"Honeychurch, Mitch",22y 127d,20 (10-0-10 50.00%),11 (0.55),←,
7,"Hunter, Lachie",22y 206d,77 (41-0-36 53.25%),37 (0.48),←,
39,"Johannisen, Jason",24y 241d,79 (39-0-40 49.37%),23 (0.29),←,
21,"Liberatore, Tom",25y 52d,109 (46-0-63 42.20%),35 (0.32),←,
11,"Macrae, Jack",22y 338d,92 (48-0-44 52.17%),21 (0.23),←,
16,"McLean, Toby",21y 157d,31 (20-0-11 64.52%),24 (0.77),←,
38,"Morris, Dale",34y 190d,237 (130-2-105 55.27%),3 (0.01),←,
42,"Picken, Liam",30y 340d,191 (95-0-96 49.74%),74 (0.39),←,
43,"Redpath, Jack",26y 206d,30 (18-0-12 60.00%),51 (1.70),←,
18,"Roberts, Fletcher",24y 34d,47 (25-0-22 53.19%),,←,
23,"Roughead, Jordan",26y 246d,119 (56-0-63 47.06%),26 (0.22),←,
14,"Smith, Clay",24y 57d,54 (22-0-32 40.74%),42 (0.78),←,
9,"Stringer, Jake",23y 73d,86 (47-0-39 54.65%),159 (1.85),←,
1,"Suckling, Matt",28y 347d,134 (95-0-39 70.90%),65 (0.49),32 (20-0-12 62.50%),14 (0.44)
3,"Wallis, Mitch",24y 256d,100 (44-0-56 44.00%),46 (0.46),←,
10,"Wood, Easton",27y 306d,122 (65-0-57 53.28%),18 (0.15),←,
Totals,Totals,25y 78d,2120 (1106-4-1010 52.17%),937 (0.44),,
C,"Beveridge, Luke",46y 318d,64 (40-0-24 62.50%),,←,
