Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
16,"Aarts, Jake",26y 116d,17 (13-0-4 76.47%),18 (1.06),←,
12,"Astbury, David",30y 36d,141 (81-3-57 58.51%),9 (0.06),←,
7,"Baker, Liam",23y 66d,45 (35-1-9 78.89%),10 (0.22),←,
21,"Balta, Noah",21y 162d,33 (24-0-9 72.73%),8 (0.24),←,
29,"Bolton, Shai",22y 116d,50 (37-1-12 75.00%),35 (0.70),←,
35,"Broad, Nathan",27y 353d,73 (57-1-15 78.77%),1 (0.01),←,
22,"Caddy, Josh",28y 187d,168 (106-1-61 63.39%),163 (0.97),73 (54-0-19 73.97%),87 (1.19)
11,"Castagna, Jason",24y 265d,100 (71-1-28 71.50%),104 (1.04),←,
9,"Cotchin, Trent",30y 361d,253 (142-3-108 56.72%),127 (0.50),←,
10,"Edwards, Shane",32y 160d,268 (140-6-122 53.36%),167 (0.62),←,
43,"Eggmolesse-Smith, Derek",22y 334d,9 (6-0-3 66.67%),,←,
34,"Graham, Jack",23y 37d,58 (46-1-11 80.17%),21 (0.36),←,
2,"Grimes, Dylan",29y 261d,174 (114-1-59 65.80%),3 (0.02),←,
23,"Lambert, Kane",29y 128d,118 (82-1-35 69.92%),71 (0.60),←,
19,"Lynch, Tom",28y 154d,178 (72-2-104 41.01%),355 (1.99),47 (35-1-11 75.53%),101 (2.15)
4,"Martin, Dustin",29y 281d,247 (143-3-101 58.50%),275 (1.11),←,
33,"McIntosh, Kamdyn",27y,111 (76-0-35 68.47%),32 (0.29),←,
25,"Nankervis, Toby",26y 234d,85 (63-0-22 74.12%),28 (0.33),73 (56-0-17 76.71%),25 (0.34)
50,"Pickett, Marlion",29y 87d,23 (17-1-5 76.09%),5 (0.22),←,
3,"Prestia, Dion",28y 173d,167 (80-1-86 48.20%),55 (0.33),72 (54-1-17 75.69%),25 (0.35)
8,"Riewoldt, Jack",32y 154d,286 (153-5-128 54.37%),673 (2.35),←,
17,"Rioli, Daniel",23y 352d,98 (66-1-31 67.86%),84 (0.86),←,
15,"Short, Jayden",25y 69d,95 (65-1-29 68.95%),20 (0.21),←,
Totals,Totals,27y 51d,2797 (1689-34-1074 60.39%),2264 (0.81),,
C,"Hardwick, Damien",48y 228d,255 (147-3-105 58.24%),,←,
