St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
20,"Armitage, David",29y 337d,158 (65-1-92 41.46%),93 (0.59),←,
15,"Billings, Jack",22y 274d,73 (26-1-46 36.30%),55 (0.75),←,
22,"Brown, Nathan",29y 153d,161 (88-2-71 55.28%),7 (0.04),31 (12-1-18 40.32%),
11,"Clark, Hunter",19y 54d,6 (1-1-4 25.00%),2 (0.33),←,
33,"Coffield, Nick",18y 208d,7 (0-1-6 7.14%),1 (0.14),←,
7,"Dunstan, Luke",23y 110d,76 (28-2-46 38.16%),40 (0.53),←,
14,"Geary, Jarryn",29y 330d,172 (87-2-83 51.16%),27 (0.16),←,
4,"Gresham, Jade",20y 268d,49 (22-1-26 45.92%),52 (1.06),←,
1,"Hickey, Tom",27y 74d,72 (21-2-49 30.56%),23 (0.32),60 (20-2-38 35.00%),18 (0.30)
13,"Lonie, Jack",21y 279d,41 (15-0-26 36.59%),30 (0.73),←,
43,"Marshall, Rowan",22y 176d,6 (0-0-6 0.00%),1 (0.17),←,
28,"Membrey, Tim",23y 358d,57 (27-2-28 49.12%),97 (1.70),56 (26-2-28 48.21%),97 (1.73)
16,"Newnes, Jack",25y 84d,122 (43-2-77 36.07%),37 (0.30),←,
30,"Phillips, Ed",20y 51d,2 (0-0-2 0.00%),,←,
37,"Rice, Bailey",21y 98d,1 (0-0-1 0.00%),,←,
6,"Ross, Sebastian",25y 12d,90 (32-2-56 36.67%),13 (0.14),←,
5,"Savage, Shane",27y 134d,132 (65-2-65 50.00%),59 (0.45),76 (24-2-50 32.89%),22 (0.29)
35,"Sinclair, Jack",23y 96d,51 (20-1-30 40.20%),32 (0.63),←,
9,"Steele, Jack",22y 157d,45 (18-1-26 41.11%),17 (0.38),28 (10-1-17 37.50%),8 (0.29)
3,"Steven, Jack",28y 52d,163 (62-3-98 38.96%),99 (0.61),←,
29,"Webster, Jimmy",24y 325d,75 (25-1-49 34.00%),3 (0.04),←,
44,"Weller, Maverick",26y 95d,113 (34-2-77 30.97%),54 (0.48),81 (28-2-51 35.80%),51 (0.63)
Totals,Totals,24y 86d,1672 (679-29-964 40.61%),742 (0.44),,
C,"Richardson, Alan",53y 2d,98 (34-2-62 35.71%),,97 (34-2-61 36.08%),
