Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
15,"Amon, Karl",22y 330d,41 (21-0-20 51.22%),22 (0.54),←,
1,"Boak, Travis",29y 348d,237 (115-1-121 48.73%),155 (0.65),←,
26,"Bonner, Riley",21y 130d,20 (14-0-6 70.00%),3 (0.15),←,
33,"Byrne-Jones, Darcy",22y 298d,58 (33-0-25 56.90%),5 (0.09),←,
17,"Clurey, Tom",24y 114d,56 (35-0-21 62.50%),,←,
22,"Dixon, Charlie",27y 295d,122 (52-1-69 43.03%),190 (1.56),57 (33-0-24 57.89%),96 (1.68)
7,"Ebert, Brad",28y 104d,229 (108-1-120 47.38%),113 (0.49),153 (80-1-72 52.61%),80 (0.52)
9,"Gray, Robbie",30y 107d,193 (94-0-99 48.70%),283 (1.47),←,
46,"Gray, Sam",26y 164d,72 (44-0-28 61.11%),62 (0.86),←,
36,"Hombsch, Jack",25y 130d,93 (49-0-44 52.69%),1 (0.01),84 (49-0-35 58.33%),1 (0.01)
43,"Houston, Dan",21y 64d,33 (22-0-11 66.67%),4 (0.12),←,
32,"Howard, Dougal",22y 112d,26 (17-0-9 65.38%),4 (0.15),←,
6,"Motlop, Steven",27y 125d,151 (101-2-48 67.55%),185 (1.23),16 (11-0-5 68.75%),10 (0.63)
21,"Polec, Jared",25y 276d,100 (58-0-42 58.00%),53 (0.53),84 (51-0-33 60.71%),44 (0.52)
2,"Powell-Pepper, Sam",20y 188d,34 (23-0-11 67.65%),21 (0.62),←,
11,"Rockliff, Tom",28y 143d,167 (56-0-111 33.53%),94 (0.56),13 (10-0-3 76.92%),7 (0.54)
4,"Ryder, Paddy",30y 123d,221 (111-4-106 51.13%),151 (0.68),51 (32-0-19 62.75%),34 (0.67)
48,"Thomas, Lindsay",30y 137d,211 (103-2-106 49.29%),329 (1.56),6 (4-0-2 66.67%),4 (0.67)
23,"Watts, Jack",27y 111d,166 (54-2-110 33.13%),159 (0.96),13 (8-0-5 61.54%),16 (1.23)
39,"Westhoff, Justin",31y 287d,242 (117-1-124 48.55%),283 (1.17),←,
16,"Wines, Ollie",23y 281d,123 (70-0-53 56.91%),56 (0.46),←,
20,"Wingard, Chad",24y 351d,141 (75-1-65 53.55%),226 (1.60),←,
Totals,Totals,26y 26d,2736 (1372-15-1349 50.15%),2399 (0.88),,
C,"Hinkley, Ken",51y 288d,131 (76-0-55 58.02%),,←,
