Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
7,"Ash, Lachie",6,2,9,15,,,,3.0,1.0,,1.0,2.0,,,,8.0,7.0,,,,,,81.0
5 ↑,"Bruhn, Tanner",1,2,5,6,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,4.0,2.0,,,,,,23.0
13,"Cumming, Isaac",11,4,6,17,,,,,2.0,1.0,,,,,,4.0,12.0,,,3.0,,,81.0
16,"Daniels, Brent",8,1,5,13,,,,2.0,1.0,5.0,3.0,,1.0,,,7.0,6.0,,,2.0,2.0,,80.0
1 ↓,"Davis, Phil",4,1,4,8,,,,1.0,2.0,,,2.0,1.0,1.0,,3.0,5.0,,,3.0,,,62.0
4,"Greene, Toby",9,4,6,15,2,4.0,,1.0,,2.0,,6.0,1.0,4.0,,8.0,8.0,,4.0,,,1.0,90.0
12,"Green, Tom",6,,5,11,,,1.0,5.0,3.0,1.0,5.0,2.0,3.0,2.0,,8.0,3.0,,,1.0,,,70.0
19,"Haynes, Nick",17,10,11,28,,,,2.0,4.0,1.0,,6.0,,,,7.0,21.0,2.0,,3.0,,,88.0
27,"Himmelberg, Harry",4,3,5,9,1,,,,,3.0,,4.0,1.0,,,7.0,4.0,3.0,2.0,2.0,,1.0,90.0
23,"Hogan, Jesse",7,5,6,13,2,1.0,,,,,,2.0,,1.0,,2.0,10.0,1.0,3.0,,,1.0,82.0
2,"Hopper, Jacob",11,2,18,29,,,,2.0,4.0,4.0,3.0,5.0,1.0,1.0,,9.0,21.0,,,1.0,,,73.0
39,"Idun, Connor",7,5,4,11,,,,1.0,2.0,1.0,1.0,1.0,,,,1.0,10.0,,,3.0,,,83.0
22,"Kelly, Josh",17,3,14,31,,,,4.0,3.0,6.0,4.0,3.0,1.0,1.0,,7.0,22.0,,,1.0,,,84.0
38,"Lloyd, Daniel",12,3,3,15,3,,,,1.0,7.0,,3.0,,1.0,,7.0,9.0,,1.0,4.0,,1.0,85.0
41,"Mumford, Shane",3,,5,8,1,,23.0,10.0,,,2.0,3.0,3.0,2.0,,5.0,4.0,,,1.0,,,79.0
33,"OHalloran, Xavier",8,2,6,14,,,,1.0,2.0,3.0,1.0,2.0,,,,9.0,7.0,1.0,,2.0,,,82.0
45,"Peatling, James",14,7,5,19,,,,3.0,6.0,2.0,1.0,3.0,3.0,2.0,,8.0,12.0,,,1.0,,,70.0
36,"Perryman, Harry",13,8,7,20,,1.0,,2.0,4.0,1.0,1.0,1.0,,1.0,,6.0,14.0,2.0,1.0,3.0,,1.0,81.0
50,"Reid, Sam",3,1,3,6,,,,4.0,,2.0,,2.0,1.0,1.0,,7.0,2.0,,,4.0,,2.0,67.0
14,"Taranto, Tim",6,4,9,15,1,,,,1.0,,,2.0,,1.0,,4.0,10.0,,,,,,80.0
15,"Taylor, Sam",6,6,8,14,,,,2.0,3.0,,,2.0,1.0,1.0,,8.0,6.0,2.0,,10.0,,,97.0
8,"Ward, Callan",10,4,8,18,1,,,1.0,1.0,4.0,4.0,1.0,3.0,1.0,,7.0,11.0,,,,,1.0,78.0
6,"Whitfield, Lachie",15,3,10,25,,,,1.0,8.0,1.0,,3.0,2.0,,,5.0,17.0,,,5.0,1.0,1.0,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,80,162,360,11,7.0,24.0,47.0,49.0,45.0,27.0,56.0,22.0,21.0,,141.0,223.0,11.0,11.0,49.0,3.0,9.0,
Opposition,Opposition,236,103,148,384,15,10.0,36.0,62.0,33.0,65.0,30.0,65.0,21.0,22.0,6.0,149.0,234.0,17.0,10.0,43.0,5.0,11.0,
