Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
10,"Brayshaw, Angus",20y 196d,26 (9-0-17 34.62%),8 (0.31),←,
6,"Dawes, Chris",28y 68d,120 (64-1-55 53.75%),129 (1.08),49 (10-0-39 20.41%),46 (0.94)
17,"Frost, Sam",22y 330d,35 (11-0-24 31.43%),6 (0.17),14 (6-0-8 42.86%),4 (0.29)
36,"Garlett, Jeff",26y 355d,142 (69-1-72 48.94%),248 (1.75),35 (12-0-23 34.29%),65 (1.86)
11,"Gawn, Max",24y 206d,56 (16-0-40 28.57%),32 (0.57),←,
43,"Harmes, James",20y 292d,23 (9-0-14 39.13%),15 (0.65),←,
1,"Hogan, Jesse",21y 162d,37 (13-0-24 35.14%),83 (2.24),←,
29,"Hunt, Jayden",21y 111d,14 (6-0-8 42.86%),1 (0.07),←,
39,"Jetta, Neville",26y 162d,89 (22-2-65 25.84%),21 (0.24),←,
45,"Jones, Matt",28y 279d,59 (11-0-48 18.64%),11 (0.19),←,
2,"Jones, Nathan",28y 185d,218 (55-3-160 25.92%),104 (0.48),←,
16,"Kent, Dean",22y 150d,48 (12-0-36 25.00%),46 (0.96),←,
28,"McDonald, Oscar",20y 127d,12 (5-0-7 41.67%),,←,
25,"McDonald, Tom",23y 309d,99 (25-0-74 25.25%),8 (0.08),←,
30,"Neal-Bullen, Alex",20y 196d,14 (5-0-9 35.71%),7 (0.50),←,
5,"Petracca, Christian",20y 201d,12 (4-0-8 33.33%),10 (0.83),←,
15,"Stretch, Billy",19y 319d,22 (7-0-15 31.82%),4 (0.18),←,
12,"Tyson, Dom",23y 45d,66 (16-0-50 24.24%),34 (0.52),53 (15-0-38 28.30%),30 (0.57)
23,"Vince, Bernie",30y 295d,188 (84-0-104 44.68%),109 (0.58),59 (16-0-43 27.12%),29 (0.49)
7,"Viney, Jack",22y 101d,65 (17-0-48 26.15%),19 (0.29),←,
42,"Wagner, Josh",22y 29d,13 (5-0-8 38.46%),,←,
4,"Watts, Jack",25y 119d,132 (35-2-95 27.27%),114 (0.86),←,
Totals,Totals,23y 259d,1490 (500-9-981 33.56%),1009 (0.68),,
C,"Roos, Paul",53y 26d,263 (134-2-127 51.33%),,61 (18-0-43 29.51%),
