Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",34y 175d,310 (183-0-127 59.03%),143 (0.46),←,
27,"Edwards, Aaron",23y 197d,21 (15-0-6 71.43%),24 (1.14),17 (11-0-6 64.71%),22 (1.29)
24,"Firrito, Michael",23y 292d,81 (43-0-38 53.09%),13 (0.16),←,
38,"Gibson, Josh",23y 186d,22 (11-0-11 50.00%),,←,
6,"Grant, Shannon",30y 149d,279 (157-2-120 56.63%),330 (1.18),221 (125-1-95 56.79%),292 (1.32)
31,"Hale, David",23y 116d,78 (35-0-43 44.87%),43 (0.55),←,
26,"Hansen, Lachlan",19y 29d,3 (1-0-2 33.33%),,←,
4,"Harris, Daniel",25y 128d,115 (58-1-56 50.87%),33 (0.29),←,
29,"Harvey, Brent",29y 124d,240 (135-1-104 56.46%),282 (1.17),←,
25,"Lower, Ed",20y 84d,12 (8-0-4 66.67%),4 (0.33),←,
1,"McIntosh, Hamish",23y 11d,42 (20-0-22 47.62%),20 (0.48),←,
42,"McMahon, Scott",21y 105d,15 (10-0-5 66.67%),13 (0.87),←,
20,"Petrie, Drew",24y 335d,130 (64-1-65 49.62%),111 (0.85),←,
30,"Pratt, Daniel",24y 178d,62 (33-0-29 53.23%),4 (0.06),59 (32-0-27 54.24%),3 (0.05)
3,"Rawlings, Brady",26y 97d,157 (82-0-75 52.23%),54 (0.34),←,
32,"Sansbury, Eddie",23y 293d,38 (14-0-24 36.84%),21 (0.55),←,
7,"Simpson, Adam",31y 211d,266 (156-1-109 58.83%),74 (0.28),←,
9,"Sinclair, Jess",29y 20d,185 (76-1-108 41.35%),69 (0.37),135 (63-1-71 47.04%),43 (0.32)
10,"Smith, Jesse",20y 351d,24 (15-0-9 62.50%),2 (0.08),←,
19,"Swallow, Andrew",20y 105d,36 (18-0-18 50.00%),12 (0.33),←,
36,"Watt, Shannon",26y 293d,130 (67-1-62 51.92%),9 (0.07),←,
8,"Wells, Daniel",22y 224d,101 (50-1-50 50.00%),60 (0.59),←,
Totals,Totals,24y 334d,2347 (1251-9-1087 53.30%),1321 (0.56),,
C,"Laidley, Dani",40y 172d,113 (56-1-56 50.00%),,←,
