Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
13,"Blumfield, Justin",26y 278d,148 (90-1-57 61.15%),91 (0.61),19 (4-0-15 21.05%),5 (0.26)
11,"Bowden, Joel",26y 68d,170 (74-0-96 43.53%),141 (0.83),←,
7,"Brown, Nathan",26y 200d,157 (68-3-86 44.27%),232 (1.48),20 (4-0-16 20.00%),26 (1.30)
17,"Campbell, Wayne",31y 340d,275 (121-1-153 44.18%),159 (0.58),←,
6,"Chaffey, Mark",27y 114d,143 (58-0-85 40.56%),31 (0.22),←,
24,"Coughlan, Mark",22y 130d,49 (15-0-34 30.61%),26 (0.53),←,
19,"Fleming, Tim",26y 145d,34 (8-0-26 23.53%),10 (0.29),←,
2,"Gaspar, Darren",28y 100d,195 (85-0-110 43.59%),22 (0.11),174 (78-0-96 44.83%),21 (0.12)
20,"Hall, Ray",23y 306d,69 (26-0-43 37.68%),25 (0.36),←,
33,"Hartigan, Brent",19y 143d,19 (4-0-15 21.05%),2 (0.11),←,
31,"Hyde, Chris",22y 19d,30 (4-0-26 13.33%),5 (0.17),←,
23,"Jackson, Daniel",18y 125d,6 (0-0-6 0.00%),,←,
39,"Kellaway, Andrew",28y 279d,141 (61-0-80 43.26%),23 (0.16),←,
27,"Krakouer, Andrew",21y 206d,56 (14-0-42 25.00%),54 (0.96),←,
15,"Marsh, Ben",28y 50d,55 (26-0-29 47.27%),18 (0.33),7 (1-0-6 14.29%),1 (0.14)
26,"Nicholls, Bill",23y 239d,16 (5-0-11 31.25%),7 (0.44),10 (2-0-8 20.00%),2 (0.20)
38,"Raines, Andrew",18y 173d,1 (0-0-1 0.00%),,←,
12,"Richardson, Matthew",29y 162d,194 (84-0-110 43.30%),580 (2.99),←,
18,"Rodan, David",20y 325d,60 (17-0-43 28.33%),43 (0.72),←,
25,"Schulz, Jay",19y 132d,21 (6-0-15 28.57%),14 (0.67),←,
32,"Tivendale, Greg",25y 131d,125 (49-0-76 39.20%),92 (0.74),←,
30,"Weller, Luke",22y 228d,11 (4-0-7 36.36%),4 (0.36),7 (3-0-4 42.86%),3 (0.43)
Totals,Totals,24y 160d,1975 (819-5-1151 41.47%),1579 (0.80),,
C,"Frawley, Danny",40y 355d,113 (45-0-68 39.82%),,←,
