Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals,Disposals
Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Aarts, Jake",15,5,7,,4,,,,,4,,,,,,13,2,,,,,,,50.0
"Baker, Liam",14,14,15,17,14,16,22,10,24,30,22,26,27,24,21,19,9,21,15,20,18,26,16,440.0
"Balta, Noah",10,10,5,8,15,4,16,18,12,,,11,12,,,,8,13,10,17,9,17,10,205.0
"Bolton, Shai",16,17,14,20,23,10,30,21,20,16,13,19,15,14,17,29,18,15,24,17,13,12,10,403.0
"Broad, Nathan",18,22,25,22,15,22,8,23,20,13,17,18,22,16,25,21,11,22,8,10,22,14,13,407.0
"Castagna, Jason",16,9,15,18,12,7,19,8,14,19,2,,,,14,15,,,,9,4,-,,181.0
"Clarke, Judson",,,,,,,,,,,,11,10,4,,,,,,,,,,25.0
"Collier-Dawkins, Riley",,,,,,9,16,,,,,,,,,,,,,,,,,25.0
"Cotchin, Trent",14,18,23,16,24,22,,29,22,25,26,25,16,,,,24,23,24,31,30,25,14,431.0
"Cumberland, Noah",,,,,,,,,,,-,,,,,10,14,12,8,10,12,12,7,85.0
"Dow, Thomson",,14,23,15,15,7,,,,,,,,,,13,,,,,,,,87.0
"Edwards, Shane",14,17,13,13,18,7,15,17,6,21,15,12,18,13,11,12,11,15,12,,13,12,6,291.0
"Gibcus, Josh",10,10,8,11,,18,12,12,,12,10,6,7,3,11,,3,,,4,12,8,8,165.0
"Graham, Jack",14,22,25,12,19,20,15,30,20,,18,17,19,17,24,15,22,11,11,19,11,,,361.0
"Grimes, Dylan",14,,5,,,,9,10,10,12,16,10,8,16,14,7,12,17,5,,,,,165.0
"Lambert, Kane",,,,,,,22,18,16,8,,-,23,,3,,,,,,,,,90.0
"Lynch, Tom",5,11,11,9,13,6,19,25,16,8,,,11,12,6,1,,,15,16,18,19,14,235.0
"Mansell, Rhyan",,,,,,12,,13,,,,,,,,,,,,,,,,25.0
"Martin, Dustin",21,,,,,,,23,20,17,20,13,,19,17,,,,,,,,15,165.0
"McIntosh, Kamdyn",,10,16,20,,15,21,11,16,19,14,12,15,21,17,16,15,16,20,22,17,10,14,337.0
"Miller, Ben",,9,,9,4,,,,,,,,,,,9,12,13,5,7,8,8,8,92.0
"Nankervis, Toby",13,15,11,12,13,21,14,23,20,19,21,16,14,22,15,10,20,10,19,29,10,21,26,394.0
"Nyuon, Bigoa",,,,,,,,,6,,,,,,,,,,,,,,,6.0
"Parker, Matthew",,16,13,11,15,4,,,,,,,,,,,,,,,,,,59.0
"Pickett, Marlion",18,18,16,20,11,,,13,18,,,14,20,16,25,17,14,13,13,8,16,12,23,305.0
"Prestia, Dion",10,,,30,27,27,16,,28,36,25,25,33,4,,24,26,30,26,32,30,31,12,472.0
"Ralphsmith, Hugo",10,19,14,19,15,,,,,,15,15,13,13,14,20,12,9,,,,,,188.0
"Riewoldt, Jack",6,,,12,7,11,11,15,14,11,8,12,13,7,6,9,16,12,11,19,11,12,8,231.0
"Rioli, Daniel",13,21,20,25,16,17,23,20,24,26,12,18,19,27,28,31,12,15,16,25,25,21,17,471.0
"Rioli, Maurice",,,,,,,14,14,4,10,8,,4,6,7,3,,2,3,12,12,11,12,122.0
"Ross, Jack",19,12,16,-,24,19,6,,,19,16,,,25,17,,,,13,19,,21,23,249.0
"Short, Jayden",21,33,31,35,18,30,31,27,21,29,22,23,25,21,22,20,24,15,17,23,26,25,20,559.0
"Soldo, Ivan",5,9,5,,,,10,8,7,6,7,10,,7,5,6,,10,,,,,,95.0
"Sonsie, Tyler",,,,,,,,,,,,,,,,,19,11,20,20,17,19,17,123.0
"Stack, Sydney",,,,,,,5,-,,,,,,,,,,,,,,,,5.0
"Tarrant, Robbie",11,8,9,13,10,12,,,,15,9,12,4,10,8,14,11,14,6,9,6,10,6,197.0
"Vlastuin, Nick",,,,,21,30,24,,20,20,19,20,24,24,21,,22,23,19,8,23,21,21,360.0
Totals,307,339,340,367,353,346,378,388,378,395,335,345,372,341,348,334,337,342,320,386,363,367,320,8101.0
Opponent,CA,GW,SK,WB,AD,ME,WC,CW,HW,ES,SY,PA,CA,GE,WC,GC,NM,FR,BL,PA,HW,ES,BL,
