Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",29y 153d,242 (135-0-107 55.79%),234 (0.97),←,
29,"Bramble, Lachlan",27y 7d,61 (27-2-32 45.90%),5 (0.08),31 (18-0-13 58.06%),3 (0.10)
5,"Busslinger, Jedd",21y 46d,1 (1-0-0 100.00%),,←,
36,"Cleary, Luke",23y 52d,11 (9-0-2 81.82%),,←,
31,"Dale, Bailey",28y 278d,162 (89-0-73 54.94%),85 (0.52),←,
42,"Davidson, Sam",23y 134d,7 (4-0-3 57.14%),3 (0.43),←,
26,"Dolan, Josh",18y 166d,7 (4-0-3 57.14%),1 (0.14),←,
44,"English, Tim",27y 259d,138 (76-0-62 55.07%),78 (0.57),←,
27,"Freijah, Joel",19y 163d,20 (13-0-7 65.00%),6 (0.30),←,
22,"Harmes, James",29y 203d,167 (89-0-78 53.29%),92 (0.55),15 (7-0-8 46.67%),14 (0.93)
6,"Hynes, Cooper",19y 57d,3 (2-0-1 66.67%),,←,
39,"Johannisen, Jason",32y 169d,199 (104-0-95 52.26%),77 (0.39),←,
8,"Kennedy, Matthew",28y 20d,125 (60-3-62 49.20%),64 (0.51),7 (4-0-3 57.14%),7 (1.00)
24,"Khamis, Buku",25y 33d,33 (19-0-14 57.58%),8 (0.24),←,
21,"Liberatore, Tom",32y 345d,241 (120-0-121 49.79%),88 (0.37),←,
7,"Lobb, Rory",32y 76d,183 (101-2-80 55.74%),174 (0.95),43 (25-0-18 58.14%),31 (0.72)
33,"Naughton, Aaron",25y 147d,150 (83-0-67 55.33%),238 (1.59),←,
18,"ODonnell, James",22y 238d,32 (17-0-15 53.13%),6 (0.19),←,
20,"Richards, Ed",25y 297d,132 (70-0-62 53.03%),39 (0.30),←,
9,"Sanders, Ryley",20y 95d,21 (12-0-9 57.14%),7 (0.33),←,
23,"Vandermeer, Laitham",26y 82d,73 (40-0-33 54.79%),36 (0.49),←,
14,"West, Rhylee",24y 288d,65 (38-0-27 58.46%),56 (0.86),←,
34,"Williams, Bailey",27y 198d,158 (86-0-72 54.43%),40 (0.25),←,
Totals,Totals,25y 248d,2231 (1199-7-1025 53.74%),1337 (0.60),,
C,"Beveridge, Luke",54y 246d,237 (134-0-103 56.54%),,←,
