Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Barnard, Paul",5,4,3,8,,,1.0,2.0,,2.0,2.0,2.0,,2.0,,3.0,5.0,,,,,,66.0
23,"Bolton, Mark",2,1,1,3,,1.0,4.0,2.0,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,4.0,,,38.0
37,"Bullen, Marcus",7,,6,13,,,,2.0,,4.0,3.0,1.0,,1.0,,9.0,3.0,,,1.0,,2.0,59.0
13,"Cupido, Damian",3,,2,5,,,,1.0,1.0,1.0,1.0,3.0,,2.0,,5.0,,,,1.0,,,78.0
31,"Fletcher, Dustin",15,4,1,16,,,,1.0,6.0,,,4.0,,2.0,,7.0,5.0,1.0,,6.0,,,100.0
15,"Forster-Knight, Robert",8,1,1,9,,,,2.0,2.0,,2.0,3.0,,1.0,,2.0,7.0,,,4.0,1.0,,100.0
19,"Hille, David",3,1,5,8,,,23.0,4.0,2.0,1.0,2.0,3.0,,2.0,,3.0,3.0,,,5.0,,1.0,85.0
5,"Hird, James",17,2,3,20,1,,,4.0,5.0,2.0,8.0,3.0,1.0,1.0,1.0,18.0,3.0,2.0,,4.0,,,100.0
21,"Jacobs, Danny",1,,2,3,,,,2.0,,1.0,,,1.0,,,2.0,,,,5.0,,,66.0
1,"Johnson, Mark",6,,4,10,,,,10.0,1.0,1.0,2.0,4.0,3.0,4.0,,9.0,2.0,,,1.0,,,100.0
18,"Lloyd, Matthew",7,4,3,10,1,1.0,,2.0,,2.0,,3.0,1.0,2.0,,4.0,5.0,,,1.0,,1.0,100.0
25,"Lucas, Scott",15,6,6,21,,,,6.0,3.0,1.0,3.0,6.0,2.0,2.0,,11.0,9.0,2.0,,4.0,,,94.0
28,"McGrath, Cory",11,2,4,15,1,,1.0,2.0,3.0,1.0,2.0,1.0,,1.0,,4.0,10.0,,,,,,92.0
33,"McPhee, Adam",7,1,6,13,,,3.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,,8.0,7.0,,,3.0,,,67.0
10,"McVeigh, Mark",6,2,1,7,,,,2.0,1.0,,,2.0,,2.0,,1.0,5.0,,,2.0,,,100.0
11,"Peverill, Damien",13,1,4,17,,,,7.0,1.0,4.0,6.0,4.0,3.0,1.0,,10.0,5.0,,,2.0,,,100.0
9,"Ramanauskas, Adam",12,2,2,14,,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,,7.0,4.0,,,2.0,,,91.0
29,"Reynolds, Joel",2,1,1,3,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,37.0
20,"Richards, Ted",5,4,2,7,3,,,,,1.0,,2.0,,,,3.0,4.0,1.0,3.0,,,,81.0
7,"Solomon, Dean",10,2,4,14,,1.0,,8.0,,4.0,4.0,5.0,2.0,3.0,,13.0,3.0,2.0,,1.0,,,93.0
6,"Wellman, Sean",6,1,3,9,1,,,7.0,1.0,2.0,1.0,2.0,1.0,2.0,,3.0,6.0,,,2.0,,,80.0
12,"Welsh, Andrew",8,3,7,15,,,,3.0,3.0,1.0,1.0,3.0,,,,8.0,8.0,1.0,,2.0,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,42,71,240,7,7.0,33.0,75.0,32.0,36.0,42.0,58.0,18.0,31.0,1.0,133.0,96.0,9.0,4.0,51.0,1.0,4.0,
Opposition,Opposition,203,54,103,306,13,12.0,43.0,68.0,26.0,53.0,47.0,30.0,31.0,18.0,5.0,159.0,138.0,10.0,9.0,43.0,4.0,7.0,
