Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
5,"Ablett, Gary",32y 267d,196 (110-1-85 56.38%),786 (4.01),190 (105-1-84 55.53%),776 (4.08)
3,"Bairstow, Mark",30y 336d,133 (79-1-53 59.77%),162 (1.22),←,
6,"Barnes, John",25y 24d,55 (29-1-25 53.64%),21 (0.38),43 (23-0-20 53.49%),9 (0.21)
9,"Breuer, Shayne",21y 288d,11 (6-0-5 54.55%),8 (0.73),←,
2,"Colbert, Leigh",19y 18d,15 (10-0-5 66.67%),2 (0.13),←,
7,"Couch, Paul",29y 341d,195 (111-0-84 56.92%),169 (0.87),←,
28,"Darcy, Tim",30y 161d,165 (88-0-77 53.33%),66 (0.40),←,
42,"Hickmott, Adrian",22y 87d,22 (13-0-9 59.09%),9 (0.41),←,
29,"Hinkley, Ken",27y 268d,104 (58-0-46 55.77%),66 (0.63),93 (54-0-39 58.06%),45 (0.48)
32,"Hocking, Garry",25y 260d,131 (74-1-56 56.87%),129 (0.98),←,
1,"Hocking, Steve",29y 158d,189 (102-0-87 53.97%),10 (0.05),←,
21,"Mansfield, Michael",22y 321d,61 (34-0-27 55.74%),41 (0.67),←,
17,"McGrath, Tim",23y 261d,64 (39-0-25 60.94%),4 (0.06),57 (35-0-22 61.40%),4 (0.07)
20,"OReilly, Stephen",21y 228d,24 (13-0-11 54.17%),5 (0.21),←,
15,"Riccardi, Peter",21y 190d,47 (30-0-17 63.83%),37 (0.79),←,
8,"Scott, Robert",25y 116d,132 (75-1-56 57.20%),164 (1.24),←,
37,"Simpson, Sean",24y 70d,49 (29-0-20 59.18%),8 (0.16),42 (28-0-14 66.67%),7 (0.17)
26,"Stoneham, Barry",26y 136d,148 (86-1-61 58.45%),146 (0.99),←,
10,"Tanner, Grant",23y 336d,4 (2-0-2 50.00%),1 (0.25),←,
11,"Tudor, Leigh",24y 273d,23 (11-0-12 47.83%),18 (0.78),15 (8-0-7 53.33%),12 (0.80)
4,"Wills, Andrew",22y 173d,45 (30-0-15 66.67%),34 (0.76),←,
Totals,Totals,25y 118d,1813 (1029-6-778 56.76%),1886 (1.04),,
C,"Blight, Malcolm",44y 129d,147 (85-0-62 57.82%),,131 (79-0-52 60.31%),
