Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Addison, Dylan",6,1,5,11,,,,3.0,,2.0,1.0,2.0,1.0,2.0,,5.0,7.0,,,3.0,,1.0,75.0
21,"Akermanis, Jason",10,3,7,17,2,,,4.0,,4.0,3.0,3.0,,,,11.0,5.0,1.0,1.0,1.0,,2.0,71.0
5,"Boyd, Matthew",16,6,10,26,2,,,5.0,6.0,1.0,3.0,4.0,,,,9.0,16.0,,1.0,,,,92.0
17,"Cooney, Adam",13,4,6,19,4,,,2.0,,4.0,4.0,1.0,2.0,,3.0,11.0,8.0,2.0,2.0,5.0,3.0,,85.0
4,"Cross, Daniel",8,7,20,28,,,,2.0,,2.0,4.0,3.0,2.0,1.0,,11.0,17.0,1.0,,2.0,1.0,1.0,88.0
14,"Darcy, Luke",9,6,4,13,2,1.0,7.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,,3.0,11.0,,2.0,1.0,,1.0,82.0
10,"Eagleton, Nathan",10,5,5,15,1,,,2.0,3.0,3.0,1.0,2.0,,1.0,,2.0,13.0,,,,5.0,1.0,76.0
13,"Giansiracusa, Daniel",15,10,8,23,1,2.0,,3.0,,4.0,2.0,4.0,,,,4.0,18.0,,2.0,1.0,1.0,2.0,85.0
9,"Gilbee, Lindsay",17,5,2,19,1,1.0,,2.0,6.0,5.0,,1.0,1.0,,,2.0,12.0,1.0,,5.0,4.0,1.0,92.0
16,"Griffen, Ryan",11,1,3,14,,,,4.0,1.0,3.0,,3.0,2.0,1.0,,4.0,10.0,,,2.0,2.0,,89.0
8,"Hahn, Mitch",5,1,3,8,1,1.0,,3.0,,1.0,1.0,2.0,2.0,1.0,,4.0,3.0,,,1.0,,,86.0
40,"Harbrow, Jarrod",5,1,6,11,,1.0,,,,1.0,1.0,1.0,,,,3.0,8.0,,,1.0,,1.0,56.0
25,"Hargrave, Ryan",15,8,8,23,1,,,4.0,4.0,2.0,,4.0,,2.0,,9.0,15.0,,,6.0,,1.0,100.0
19,"Higgins, Shaun",9,3,6,15,4,1.0,,,,5.0,,1.0,,,1.0,5.0,9.0,1.0,1.0,1.0,2.0,,67.0
6,"Johnson, Brad",12,7,9,21,1,,,3.0,2.0,2.0,1.0,3.0,,,,7.0,13.0,1.0,2.0,4.0,5.0,1.0,98.0
36,"Lake, Brian",11,5,4,15,,,,3.0,6.0,1.0,,2.0,,1.0,,8.0,8.0,3.0,,6.0,4.0,1.0,100.0
23,"McMahon, Jordan",6,,4,10,,,,2.0,2.0,1.0,1.0,,1.0,,,2.0,8.0,,,,2.0,1.0,54.0
38,"Morris, Dale",8,5,6,14,,,,1.0,2.0,,,2.0,2.0,,,5.0,9.0,1.0,,5.0,,,100.0
1,"Ray, Farren",5,,3,8,,,,4.0,,4.0,1.0,2.0,1.0,1.0,,4.0,4.0,,,2.0,,2.0,82.0
11,"Street, Peter",3,3,5,8,,1.0,29.0,1.0,1.0,3.0,1.0,2.0,1.0,,,2.0,6.0,,,3.0,,,70.0
7,"West, Scott",10,6,18,28,,1.0,,2.0,2.0,2.0,9.0,2.0,4.0,,2.0,13.0,15.0,1.0,1.0,,1.0,2.0,90.0
37,"Wight, Cameron",8,4,5,13,,,,1.0,2.0,2.0,,3.0,,2.0,,2.0,10.0,,,2.0,1.0,,62.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,212,91,147,359,20,15.0,36.0,53.0,38.0,53.0,35.0,50.0,20.0,14.0,6.0,126.0,225.0,12.0,12.0,51.0,31.0,18.0,
Opposition,Opposition,212,102,103,315,14,18.0,34.0,42.0,26.0,56.0,37.0,44.0,14.0,20.0,,133.0,175.0,15.0,19.0,44.0,16.0,11.0,
