Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",12,6,10,22,,,,1.0,,,,,,,,,,,,,,,
32,"Baldwin, Jason",5,2,3,8,1,,,1.0,,,,,1.0,,,,,,,,,,
22,"Bamford, Scott",4,1,7,11,,,,1.0,,,,,,,,,,,,,,,
5,"Barker, John",2,2,4,6,,,2.0,,,,,,,1.0,,,,,,,,,
41,"Bird, Peter",6,6,5,11,1,,,,,,,,1.0,,,,,,,,,,
30,"Carter, Nick",6,5,10,16,,,,,,,,,,,,,,,,,,,
29,"Cassidy, Brad",8,5,4,12,3,,,1.0,,,,,,1.0,,,,,,,,,
40,"Clayton, Shane",7,3,6,13,,,,,,,,,,,,,,,,,,,
24,"Cummings, Trent",7,3,6,13,,,,3.0,,,,,3.0,1.0,,,,,,,,,
31,"Dent, Matthew",20,5,13,33,,,,1.0,,,,,1.0,1.0,,,,,,,,,
28,"Doyle, Peter",2,1,1,3,,,,,,,,,,,,,,,,,,,
17,"Hawking, Simon",4,2,2,6,,,,,,,,,,,,,,,,,,,
2,"Johnson, Chris",14,3,6,20,2,,,2.0,,,,,2.0,,,,,,,,,,
25,"McCarthy, John",9,6,9,18,,,2.0,1.0,,,,,,,,,,,,,,,
3,"Mellington, Anthony",8,5,2,10,2,3.0,,,,,,,1.0,1.0,,,,,,,,,
7,"Molloy, Jarrod",5,4,4,9,,,,2.0,,,,,,,,,,,,,,,
34,"Morton, Danny",2,,1,3,,1.0,,1.0,,,,,1.0,,,,,,,,,,
4,"Paxman, Stephen",9,4,3,12,,1.0,,4.0,,,,,2.0,,,,,,,,,,
8,"Pike, Martin",10,4,7,17,,,,2.0,,,,,,1.0,,,,,,,,,
12,"Primus, Matthew",8,3,9,17,1,,15.0,3.0,,,,,2.0,,,,,,,,,,
37,"Rombotis, John",5,1,14,19,,,,4.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,153,71,126,279,10,7.0,19.0,27.0,,,,,15.0,8.0,,,,,,,,,
Opposition,Opposition,206,99,104,310,21,11.0,16.0,27.0,,,,,8.0,15.0,6.0,,,,,,,,
