Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",22y 170d,61 (25-2-34 42.62%),21 (0.34),←,
36,"Bradshaw, Daniel",29y 164d,188 (107-2-79 57.45%),393 (2.09),185 (104-2-79 56.76%),393 (2.12)
17,"Brennan, Jared",23y 280d,66 (32-2-32 50.00%),47 (0.71),←,
19,"Charman, Jamie",25y 292d,111 (66-3-42 60.81%),48 (0.43),←,
1,"Clark, Mitch",20y 197d,11 (2-1-8 22.73%),13 (1.18),←,
30,"Copeland, Robert",26y 343d,135 (79-2-54 59.26%),35 (0.26),←,
18,"Corrie, Anthony",23y 316d,40 (17-0-23 42.50%),35 (0.88),←,
5,"Harding, Scott",21y 319d,27 (11-2-14 44.44%),7 (0.26),←,
14,"Henderson, Lachie",18y 141d,5 (3-0-2 60.00%),2 (0.40),←,
33,"Hooper, Rhan",20y 115d,26 (11-1-14 44.23%),24 (0.92),←,
23,"Leuenberger, Matthew",19y 331d,16 (8-1-7 53.13%),2 (0.13),←,
26,"Macdonald, Joel",23y 206d,48 (26-0-22 54.17%),6 (0.13),←,
9,"McGrath, Ashley",24y 349d,100 (56-1-43 56.50%),98 (0.98),←,
21,"Merrett, Daniel",23y 143d,53 (21-2-30 41.51%),16 (0.30),←,
8,"Notting, Tim",29y 195d,185 (109-3-73 59.73%),129 (0.70),←,
24,"Patfull, Joel",23y 148d,43 (17-2-24 41.86%),17 (0.40),←,
6,"Power, Luke",28y 116d,202 (120-2-80 59.90%),188 (0.93),←,
2,"Proud, Albert",19y 240d,5 (1-0-4 20.00%),,←,
35,"Rischitelli, Michael",22y 116d,51 (21-2-28 43.14%),21 (0.41),←,
28,"Selwood, Troy",24y 2d,51 (20-1-30 40.20%),7 (0.14),←,
11,"Sherman, Justin",21y 98d,61 (23-2-36 39.34%),37 (0.61),←,
32,"Stiller, Cheynee",22y,40 (14-2-24 37.50%),12 (0.30),←,
Totals,Totals,23y 161d,1525 (789-33-703 51.74%),1158 (0.76),,
C,"Matthews, Leigh",56y 63d,446 (260-8-178 59.19%),,222 (135-3-84 61.49%),
