Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",14,1,7,21,2,,,1.0,,,,,3.0,,,,,,,,,,
18,"Cameron, Leon",18,3,8,26,,,,1.0,,,,,1.0,,,,,,,,,,
20,"Coleman, Glenn",12,4,8,20,,1.0,,,,,,,3.0,,,,,,,,,,
26,"Del-Re, Danny",11,8,1,12,3,3.0,,,,,,,2.0,5.0,,,,,,,,,
28,"Grgic, Ilija",6,3,4,10,2,,2.0,1.0,,,,,2.0,2.0,,,,,,,,,
7,"Hawkins, Doug",4,1,5,9,1,,,1.0,,,,,,1.0,,,,,,,,,
10,"Hunter, Mark",17,2,7,24,,,,,,,,,,2.0,,,,,,,,,
4,"Kellett, Nigel",7,2,6,13,,3.0,,3.0,,,,,2.0,,,,,,,,,,
21,"Kolyniuk, Steven",4,,2,6,1,,,,,,,,1.0,,,,,,,,,,
35,"Kretiuk, Steven",5,2,2,7,,,,,,,,,,1.0,,,,,,,,,
39,"Liberatore, Tony",17,4,16,33,4,,,6.0,,,,,2.0,1.0,3.0,,,,,,,,
27,"Macpherson, Stephen",13,4,9,22,,,,1.0,,,,,2.0,1.0,,,,,,,,,
25,"Mansfield, Matthew",8,2,3,11,,1.0,,,,,,,,1.0,,,,,,,,,
2,"Reynolds, Keenan",10,2,3,13,,,,1.0,,,,,2.0,,,,,,,,,,
5,"Smith, Rohan",6,4,3,9,1,1.0,,,,,,,1.0,,,,,,,,,,
17,"Standfield, Barry",13,2,6,19,,,,1.0,,,,,3.0,,,,,,,,,,
8,"Toohey, Bernard",13,4,5,18,,,,,,,,,3.0,1.0,,,,,,,,,
24,"Wallis, Stephen",13,3,4,17,,,,1.0,,,,,1.0,2.0,,,,,,,,,
14,"West, Scott",6,1,3,9,1,1.0,,2.0,,,,,,4.0,,,,,,,,,
15,"Wynd, Scott",7,7,11,18,,,18.0,2.0,,,,,1.0,,2.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,204,59,113,317,15,13.0,20.0,21.0,,,,,29.0,21.0,5.0,,,,,,,,
Opposition,Opposition,207,68,105,312,13,17.0,12.0,15.0,,,,,21.0,29.0,1.0,,,,,,,,
