Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Armfield, Dennis",9,1,10,19,,1.0,,3.0,1.0,2.0,1.0,3.0,,2.0,,5.0,13.0,1.0,,,2.0,,91.0
21,"Austin, Mark",5,3,4,9,,,,3.0,2.0,,,,1.0,,,4.0,5.0,1.0,,3.0,,,78.0
19,"Betts, Eddie",8,2,3,11,1,3.0,,3.0,,1.0,1.0,4.0,,1.0,,5.0,4.0,1.0,1.0,,,1.0,86.0
18,"Bower, Paul",9,6,10,19,,,,3.0,1.0,2.0,,,1.0,,,4.0,15.0,1.0,,7.0,,,97.0
28,"Cloke, Cameron",6,4,3,9,1,,4.0,4.0,,1.0,2.0,2.0,,,,5.0,4.0,1.0,1.0,2.0,,,57.0
25,"Fevola, Brendan",3,2,2,5,1,1.0,1.0,1.0,,,2.0,1.0,,,,3.0,2.0,1.0,2.0,1.0,,,85.0
4,"Gibbs, Bryce",16,13,15,31,,,,6.0,2.0,6.0,1.0,2.0,1.0,,,4.0,27.0,,,1.0,2.0,,89.0
10,"Hadley, Richard",6,4,12,18,1,,,5.0,2.0,2.0,1.0,2.0,2.0,,,7.0,12.0,,,1.0,,,65.0
22,"Hampson, Shaun",4,2,8,12,,1.0,6.0,5.0,,1.0,,3.0,1.0,1.0,,7.0,5.0,,,,,,64.0
40,"Jamison, Michael",5,1,4,9,,,,2.0,1.0,,,2.0,,1.0,,3.0,6.0,,,3.0,,,100.0
45,"Joseph, Aaron",8,1,6,14,1,2.0,,3.0,,3.0,2.0,,2.0,,,8.0,6.0,,,1.0,,,70.0
5,"Judd, Chris",13,3,15,28,1,2.0,,5.0,2.0,6.0,5.0,2.0,1.0,,,16.0,12.0,,1.0,1.0,1.0,,85.0
8,"Kreuzer, Matthew",6,1,13,19,,,10.0,5.0,,5.0,2.0,,1.0,,,5.0,14.0,,,7.0,,1.0,71.0
3,"Murphy, Marc",13,7,18,31,1,1.0,,6.0,2.0,5.0,4.0,2.0,3.0,,,15.0,18.0,,1.0,2.0,3.0,,85.0
2,"Russell, Jordan",8,3,8,16,,1.0,,2.0,3.0,2.0,,1.0,3.0,,,5.0,11.0,,,3.0,1.0,,87.0
29,"Scotland, Heath",16,7,19,35,,,,1.0,3.0,4.0,3.0,1.0,1.0,1.0,,10.0,25.0,,,1.0,,,88.0
6,"Simpson, Kade",11,6,10,21,,1.0,,4.0,3.0,3.0,1.0,1.0,1.0,1.0,,8.0,14.0,,,2.0,2.0,2.0,72.0
24,"Stevens, Nick",8,3,12,20,,1.0,,1.0,1.0,4.0,1.0,4.0,,1.0,,7.0,13.0,1.0,1.0,3.0,1.0,1.0,81.0
32,"Thornton, Bret",15,9,10,25,,,,4.0,6.0,,,3.0,,,,4.0,19.0,,,5.0,,,97.0
30,"Waite, Jarrad",19,7,6,25,3,,,4.0,3.0,4.0,1.0,2.0,2.0,,,10.0,14.0,1.0,1.0,5.0,,,99.0
34,"Wiggins, Simon",4,2,6,10,,,,2.0,,3.0,1.0,3.0,,1.0,,2.0,8.0,,,3.0,,1.0,75.0
13,"Yarran, Chris",5,3,5,10,1,,,3.0,1.0,4.0,1.0,,,,,4.0,6.0,,,1.0,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,90,199,396,11,15.0,21.0,75.0,33.0,58.0,29.0,38.0,20.0,9.0,,141.0,253.0,8.0,8.0,52.0,12.0,6.0,
Opposition,Opposition,197,88,135,332,13,10.0,45.0,60.0,41.0,46.0,38.0,51.0,9.0,20.0,6.0,138.0,193.0,11.0,9.0,52.0,7.0,9.0,
