Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",24y 194d,129 (38-1-90 29.84%),76 (0.59),←,
17,"Bartlett, Trent",19y 132d,10 (6-0-4 60.00%),1 (0.10),←,
1,"Champion, Richard",27y 358d,96 (29-1-66 30.73%),34 (0.35),←,
16,"Clarke, Matthew",22y 201d,46 (21-0-25 45.65%),4 (0.09),←,
14,"Dickfos, Danny",25y 189d,2 (2-0-0 100.00%),,←,
6,"Fletcher, Adrian",26y 179d,109 (49-0-60 44.95%),56 (0.51),64 (24-0-40 37.50%),36 (0.56)
8,"Gowers, Andrew",26y 361d,109 (68-0-41 62.39%),55 (0.50),20 (9-0-11 45.00%),1 (0.05)
32,"Hart, Shaun",24y 325d,84 (24-1-59 29.17%),63 (0.75),←,
29,"Johnson, Troy",18y 255d,2 (2-0-0 100.00%),,←,
41,"Kennedy, Matthew",26y 62d,91 (25-0-66 27.47%),21 (0.23),←,
18,"Lambert, Craig",27y 184d,154 (46-0-108 29.87%),63 (0.41),31 (13-0-18 41.94%),10 (0.32)
44,"Lappin, Nigel",19y 290d,38 (17-0-21 44.74%),26 (0.68),←,
23,"Leppitsch, Justin",20y 188d,26 (10-0-16 38.46%),15 (0.58),←,
11,"Lynch, Alastair",27y 292d,136 (52-0-84 38.24%),218 (1.60),16 (8-0-8 50.00%),45 (2.81)
42,"Lynch, Tristan",22y 228d,1 (1-0-0 100.00%),,←,
2,"McAdam, Gilbert",29y 7d,94 (50-1-43 53.72%),82 (0.87),41 (20-0-21 48.78%),34 (0.83)
24,"Merrett, Roger",35y 353d,298 (141-3-154 47.82%),414 (1.39),149 (44-1-104 29.87%),266 (1.79)
22,"Scott, Chris",19y 339d,35 (15-0-20 42.86%),17 (0.49),←,
38,"Scott, Dion",26y 5d,44 (18-0-26 40.91%),29 (0.66),38 (17-0-21 44.74%),29 (0.76)
3,"Voss, Michael",20y 274d,57 (23-0-34 40.35%),51 (0.89),←,
33,"White, Darryl",22y 299d,70 (25-1-44 36.43%),74 (1.06),←,
Totals,Totals,24y 207d,1631 (662-8-961 40.59%),1299 (0.80),,
C,"Northey, John",52y 282d,258 (130-2-126 50.78%),,2 (2-0-0 100.00%),
