North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",23y 33d,72 (34-1-37 47.92%),66 (0.92),←,
30,"Chandler, Jeff",25y 108d,40 (23-1-16 58.75%),4 (0.10),←,
27,"Crocker, Darren",24y 94d,72 (34-1-37 47.92%),46 (0.64),←,
12,"Dilena, Carl",24y 103d,30 (15-0-15 50.00%),18 (0.60),7 (5-0-2 71.43%),3 (0.43)
6,"Fairley, Ian",26y 283d,116 (57-2-57 50.00%),138 (1.19),←,
31,"Gallagher, Michael",25y 50d,42 (28-1-13 67.86%),23 (0.55),26 (18-0-8 69.23%),6 (0.23)
29,"German, Peter",26y 146d,136 (68-3-65 51.10%),166 (1.22),←,
9,"Larkin, Matthew",26y 313d,138 (72-3-63 53.26%),123 (0.89),←,
35,"Longmire, John",20y 179d,61 (28-1-32 46.72%),184 (3.02),←,
4,"Martyn, Mick",22y 301d,67 (32-1-34 48.51%),4 (0.06),←,
25,"McDonald, Donald",29y 49d,139 (67-3-69 49.28%),151 (1.09),←,
22,"Roberts, Mark",26y,84 (30-0-54 35.71%),21 (0.25),7 (4-0-3 57.14%),2 (0.29)
3,"Rock, Anthony",20y 272d,30 (16-0-14 53.33%),35 (1.17),←,
36,"Romero, Jose",19y 331d,43 (23-0-20 53.49%),61 (1.42),←,
2,"Schwass, Wayne",22y 213d,56 (26-0-30 46.43%),28 (0.50),←,
24,"Sholl, Craig",23y 180d,34 (20-0-14 58.82%),6 (0.18),←,
15,"Smith, Ross",26y 145d,131 (60-2-69 46.56%),27 (0.21),←,
1,"Spargo, Paul",24y 262d,62 (31-2-29 51.61%),92 (1.48),←,
17,"Staritski, Justin",20y 353d,9 (6-0-3 66.67%),1 (0.11),←,
7,"Steele, Darren",25y 76d,97 (41-1-55 42.78%),27 (0.28),←,
Totals,Totals,24y 83d,1459 (711-22-726 48.73%),1221 (0.84),,
C,"Schimmelbusch, Wayne",38y 160d,35 (20-0-15 57.14%),,←,
