Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
44,"Bandy, Daniel",25y 162d,93 (33-0-60 35.48%),74 (0.80),←,
32,"Bell, Peter",25y 59d,130 (84-0-46 64.62%),124 (0.95),7 (0-0-7 0.00%),4 (0.57)
7,"Black, Heath",21y 336d,53 (16-0-37 30.19%),31 (0.58),←,
40,"Bootsma, Brad",28y 120d,18 (5-0-13 27.78%),6 (0.33),←,
30,"Brown, Leigh",19y 65d,26 (8-0-18 30.77%),2 (0.08),←,
9,"Carr, Matthew",22y 121d,33 (7-1-25 22.73%),4 (0.12),5 (0-0-5 0.00%),2 (0.40)
10,"Cook, Troy",24y 260d,70 (32-0-38 45.71%),26 (0.37),27 (8-0-19 29.63%),15 (0.56)
12,"Dodd, Brad",24y 37d,47 (16-0-31 34.04%),21 (0.45),←,
2,"Fletcher, Adrian",31y 201d,215 (89-2-124 41.86%),94 (0.44),63 (18-0-45 28.57%),21 (0.33)
14,"Grover, Antoni",21y 49d,14 (2-0-12 14.29%),1 (0.07),←,
4,"Hasleby, Paul",19y 321d,26 (8-0-18 30.77%),21 (0.81),←,
5,"Jones, Anthony",26y 131d,62 (21-0-41 33.87%),3 (0.05),←,
20,"Longmuir, Justin",20y 98d,18 (4-0-14 22.22%),10 (0.56),←,
21,"Longmuir, Troy",21y 339d,34 (11-0-23 32.35%),10 (0.29),17 (6-0-11 35.29%),7 (0.41)
8,"McManus, Shaun",25y 79d,84 (26-0-58 30.95%),50 (0.60),←,
3,"Metropolis, Daniel",29y 43d,112 (57-1-54 51.34%),48 (0.43),4 (0-0-4 0.00%),2 (0.50)
6,"Modra, Tony",32y 59d,159 (66-1-92 41.82%),573 (3.60),41 (11-0-30 26.83%),133 (3.24)
25,"Norrish, Jason",29y 93d,121 (44-0-77 36.36%),21 (0.17),101 (32-0-69 31.68%),19 (0.19)
23,"Parker, Shane",28y 70d,111 (37-0-74 33.33%),7 (0.06),←,
29,"Pavlich, Matthew",19y 119d,23 (6-0-17 26.09%),25 (1.09),←,
33,"Shipp, Andrew",21y 293d,25 (7-0-18 28.00%),15 (0.60),←,
19,"Walker, James",22y 104d,40 (10-0-30 25.00%),2 (0.05),←,
Totals,Totals,24y 193d,1514 (589-5-920 38.90%),1168 (0.77),,
C,"Drum, Damian",40y 275d,49 (13-0-36 26.53%),,←,
