North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game],North Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
33,"Allison, Brett",7,5,5,12,,,,,,,,,,,,,,,,,,,
11,"Angus, Warwick",3,1,2,5,,,1.0,2.0,,,,,,1.0,,,,,,,,,
44,"Brayshaw, Mark",10,1,3,13,,,,1.0,,,,,2.0,,,,,,,,,,
18,"Carey, Wayne",8,6,6,14,2,2.0,,,,,,,1.0,3.0,,,,,,,,,
30,"Chandler, Jeff",5,1,4,9,,,,,,,,,2.0,,,,,,,,,,
5,"Dwyer, David",10,5,6,16,1,,,1.0,,,,,,,,,,,,,,,
6,"Fairley, Ian",4,2,2,6,,,2.0,1.0,,,,,,1.0,,,,,,,,,
31,"Gallagher, Michael",4,1,8,12,,,11.0,1.0,,,,,1.0,3.0,,,,,,,,,
29,"German, Peter",17,,12,29,1,2.0,,,,,,,1.0,1.0,,,,,,,,,
9,"Larkin, Matthew",12,2,16,28,,1.0,,1.0,,,,,1.0,3.0,3.0,,,,,,,,
35,"Longmire, John",9,6,7,16,8,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,
4,"Martyn, Mick",7,2,5,12,,,,,,,,,3.0,1.0,,,,,,,,,
16,"McCarthy, John",7,3,7,14,,2.0,,,,,,,,,,,,,,,,,
3,"Rock, Anthony",19,1,11,30,4,,,,,,,,3.0,2.0,,,,,,,,,
36,"Romero, Jose",15,2,10,25,3,2.0,,,,,,,1.0,2.0,,,,,,,,,
2,"Schwass, Wayne",18,3,8,26,,1.0,,2.0,,,,,3.0,2.0,,,,,,,,,
24,"Sholl, Craig",9,3,4,13,,,,,,,,,1.0,2.0,,,,,,,,,
32,"Smith, Shaun",13,6,5,18,2,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
1,"Spargo, Paul",16,2,16,32,,1.0,,2.0,,,,,2.0,3.0,2.0,,,,,,,,
17,"Staritski, Justin",14,3,12,26,,,,,,,,,2.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,207,55,149,356,21,15.0,14.0,12.0,,,,,26.0,30.0,6.0,,,,,,,,
Opposition,Opposition,203,53,70,273,14,13.0,20.0,31.0,,,,,30.0,26.0,,,,,,,,,
