Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
1,"Charles, Sean",19y 318d,25 (9-0-16 36.00%),41 (1.64),←,
23,"Dyson, Kevin",27y 332d,53 (29-0-24 54.72%),22 (0.42),←,
33,"Farmer, Jeff",17y 281d,1 (0-0-1 0.00%),1 (1.00),←,
20,"Febey, Matthew",25y 225d,51 (26-0-25 50.98%),19 (0.37),←,
21,"Febey, Steven",25y 225d,134 (75-0-59 55.97%),20 (0.15),←,
22,"Hilton, Jeff",22y 309d,26 (17-0-9 65.38%),15 (0.58),20 (13-0-7 65.00%),9 (0.45)
34,"Irving, Dean",28y 212d,50 (36-1-13 73.00%),11 (0.22),7 (4-0-3 57.14%),2 (0.29)
7,"Kowal, Darren",22y 287d,35 (22-0-13 62.86%),23 (0.66),←,
37,"Lamprill, Andrew",25y 332d,11 (5-0-6 45.45%),2 (0.18),←,
6,"Lovett, Glenn",25y 252d,79 (35-0-44 44.30%),53 (0.67),←,
3,"Lyon, Garry",27y 200d,173 (101-1-71 58.67%),287 (1.66),←,
9,"Neitz, David",20y 69d,45 (23-0-22 51.11%),21 (0.47),←,
25,"Norman, Luke",23y 106d,1 (0-0-1 0.00%),,←,
4,"Obst, Andrew",30y 225d,89 (51-0-38 57.30%),44 (0.49),←,
19,"Prymke, Paul",24y 114d,25 (13-0-12 52.00%),1 (0.04),←,
10,"Seecamp, Marcus",22y 248d,52 (18-0-34 34.62%),10 (0.19),1 (0-0-1 0.00%),
29,"Smith, Shaun",25y 283d,48 (27-1-20 57.29%),39 (0.81),1 (0-0-1 0.00%),1 (1.00)
11,"Stynes, Jim",28y 343d,179 (102-1-76 57.26%),109 (0.61),←,
2,"Tingay, Stephen",24y 231d,102 (57-0-45 55.88%),46 (0.45),←,
12,"Viney, Todd",29y 2d,144 (75-1-68 52.43%),57 (0.40),←,
27,"Wight, Sean",31y 17d,130 (72-0-58 55.38%),63 (0.48),←,
Totals,Totals,25y 98d,1453 (793-5-655 54.58%),884 (0.61),,
C,"Balme, Neil",43y 76d,46 (24-0-22 52.17%),,←,
