Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bishop, Matthew",8,4,2,10,,,,,1.0,4.0,,,,,,3.0,7.0,,,1.0,,,
7,"Burgoyne, Peter",11,5,5,16,2,,,2.0,,2.0,2.0,2.0,,1.0,,5.0,11.0,1.0,2.0,,1.0,,
8,"Burgoyne, Shaun",4,1,7,11,,1.0,,1.0,,2.0,,2.0,1.0,1.0,,5.0,5.0,,,1.0,,,
9,"Carr, Josh",6,2,11,17,,,,1.0,3.0,1.0,7.0,1.0,,1.0,,5.0,12.0,,,,,,
25,"Cassisi, Domenic",,,2,2,,,,,,,,,,,,,2.0,,,,,,
12,"Cockatoo-Collins, Che",7,4,3,10,,1.0,,,2.0,2.0,,1.0,1.0,,,3.0,7.0,,1.0,,1.0,,
35,"Cornes, Chad",12,8,7,19,1,,1.0,,1.0,6.0,2.0,3.0,,1.0,,7.0,13.0,1.0,,1.0,,,
17,"Dew, Stuart",6,3,3,9,2,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,,2.0,7.0,,2.0,,,,
10,"Francou, Josh",13,4,11,24,2,,,8.0,3.0,3.0,9.0,2.0,3.0,1.0,2.0,11.0,15.0,,2.0,2.0,1.0,,
11,"Hardwick, Damien",7,4,2,9,,,,2.0,3.0,2.0,1.0,1.0,,1.0,,2.0,8.0,,,1.0,,,
38,"James, Roger",5,3,14,19,,,,,,2.0,7.0,1.0,2.0,,,8.0,12.0,1.0,,1.0,,,
29,"Kingsley, Adam",12,3,4,16,,,,2.0,5.0,2.0,1.0,,1.0,,,1.0,16.0,,,,,,
5,"Lade, Brendon",6,5,1,7,1,,14.0,1.0,1.0,,1.0,2.0,,2.0,,3.0,3.0,2.0,1.0,1.0,,,
3,"Montgomery, Brett",8,6,5,13,,,,,3.0,,,,1.0,,,3.0,10.0,,,6.0,1.0,,
23,"Morgan, Adam",,,,,,,,,,,,1.0,,1.0,,1.0,,,,2.0,,,
27,"Poulton, Jared",7,4,1,8,2,,,,2.0,1.0,,1.0,,,,2.0,5.0,,1.0,3.0,1.0,,
1,"Primus, Matthew",5,1,7,12,1,1.0,23.0,3.0,,1.0,5.0,1.0,2.0,,,6.0,5.0,,1.0,1.0,,,
6,"Schofield, Jarrad",14,6,9,23,1,1.0,,,3.0,8.0,4.0,2.0,,1.0,,7.0,17.0,,1.0,2.0,,,
36,"Stevens, Nick",19,3,4,23,1,,,1.0,1.0,9.0,2.0,3.0,1.0,,,7.0,15.0,1.0,,2.0,4.0,,
16,"Tredrea, Warren",12,9,3,15,1,3.0,,2.0,,4.0,,2.0,1.0,2.0,,12.0,3.0,6.0,4.0,,,,
2,"Wakelin, Darryl",7,9,10,17,,,,1.0,6.0,,,,,,,7.0,9.0,3.0,,6.0,,,
4,"Wanganeen, Gavin",9,4,2,11,,,,1.0,3.0,2.0,,,2.0,,,5.0,9.0,,,,3.0,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,178,88,113,291,14,10.0,39.0,26.0,38.0,53.0,42.0,28.0,15.0,13.0,2.0,105.0,191.0,15.0,15.0,30.0,12.0,,
Opposition,Opposition,184,86,110,294,13,14.0,28.0,44.0,37.0,57.0,34.0,36.0,13.0,15.0,4.0,93.0,197.0,16.0,17.0,40.0,6.0,,
