Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
3,"Bizzell, Clint",28y 355d,146 (65-1-80 44.86%),79 (0.54),71 (33-0-38 46.48%),7 (0.10)
25,"Brown, Nathan",28y 308d,109 (55-0-54 50.46%),29 (0.27),←,
32,"Bruce, Cameron",25y 261d,116 (61-0-55 52.59%),151 (1.30),←,
36,"Davey, Aaron",22y 8d,32 (21-0-11 65.63%),49 (1.53),←,
35,"Ferguson, Ryan",23y 262d,29 (14-0-15 48.28%),2 (0.07),←,
18,"Green, Brad",24y 97d,117 (62-0-55 52.99%),174 (1.49),←,
1,"Heffernan, Chris",26y 140d,141 (85-1-55 60.64%),48 (0.34),44 (18-0-26 40.91%),10 (0.23)
4,"Holland, Ben",28y 39d,154 (80-0-74 51.95%),158 (1.03),29 (18-0-11 62.07%),34 (1.17)
11,"Johnson, Paul",20y 357d,6 (4-0-2 66.67%),,5 (3-0-2 60.00%),
16,"Johnstone, Travis",24y 336d,114 (57-0-57 50.00%),88 (0.77),←,
23,"McDonald, James",28y 256d,145 (71-0-74 48.97%),39 (0.27),←,
5,"McLean, Brock",19y 99d,21 (14-0-7 66.67%),9 (0.43),←,
7,"Miller, Brad",21y 347d,53 (27-0-26 50.94%),16 (0.30),←,
22,"Moloney, Brent",21y 141d,34 (20-1-13 60.29%),7 (0.21),11 (8-0-3 72.73%),1 (0.09)
8,"Nicholson, Alistair",27y 106d,103 (54-0-49 52.43%),3 (0.03),←,
27,"Rivers, Jared",20y 243d,35 (19-0-16 54.29%),,←,
24,"Robertson, Russell",26y 206d,157 (79-0-78 50.32%),259 (1.65),←,
12,"Sylvia, Colin",19y 222d,15 (10-0-5 66.67%),7 (0.47),←,
31,"Wheatley, Paul",24y 67d,83 (47-0-36 56.63%),23 (0.28),←,
45,"Whelan, Matthew",25y 217d,96 (49-0-47 51.04%),10 (0.10),←,
34,"White, Jeff",28y 119d,197 (98-0-99 49.75%),85 (0.43),165 (85-0-80 51.52%),67 (0.41)
13,"Yze, Adem",27y 270d,223 (103-0-120 46.19%),183 (0.82),←,
Totals,Totals,24y 286d,2126 (1095-3-1028 51.51%),1419 (0.67),,
C,"Daniher, Neale",44y 123d,176 (89-0-87 50.57%),,←,
