Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
45,"Banik, Anthony",17y 87d,1 (0-0-1 0.00%),,←,
11,"Bowden, Sean",19y 204d,3 (0-0-3 0.00%),,←,
31,"Bower, Brendan",23y 253d,68 (22-0-46 32.35%),16 (0.24),←,
16,"Cloke, David",35y 76d,293 (173-2-118 59.39%),313 (1.07),179 (109-2-68 61.45%),262 (1.46)
30,"Free, Tony",20y 291d,44 (13-0-31 29.55%),17 (0.39),←,
25,"Gale, Brendon",21y 270d,3 (0-0-3 0.00%),3 (1.00),←,
24,"Goodwin, Andy",26y 289d,26 (7-0-19 26.92%),8 (0.31),←,
19,"Hamilton, Greg",21y 294d,11 (0-0-11 0.00%),5 (0.45),←,
14,"Keighran, Darren",20y 135d,1 (0-0-1 0.00%),,←,
33,"Knights, Matthew",19y 191d,26 (7-0-19 26.92%),12 (0.46),←,
4,"Lambert, Craig",21y 191d,44 (12-0-32 27.27%),11 (0.25),←,
1,"Lee, Mark",31y 16d,213 (96-1-116 45.31%),87 (0.41),←,
26,"Leys, Brian",22y 66d,40 (12-0-28 30.00%),6 (0.15),←,
7,"Mitchell, Michael",28y 140d,53 (15-0-38 28.30%),75 (1.42),←,
6,"Naish, Chris",18y 199d,3 (0-0-3 0.00%),,←,
22,"Nichols, Trent",21y 7d,26 (7-0-19 26.92%),17 (0.65),←,
36,"Nixon, Richard",24y 167d,27 (6-0-21 22.22%),3 (0.11),←,
35,"Pickering, Michael",26y 135d,104 (34-0-70 32.69%),132 (1.27),←,
32,"Ryan, Des",22y 190d,36 (10-0-26 27.78%),18 (0.50),←,
48,"Ryan, Stephen",19y 282d,3 (0-0-3 0.00%),1 (0.33),←,
Totals,Totals,23y 46d,1025 (414-3-608 40.39%),724 (0.71),,
C,"Bartlett, Kevin",43y 39d,47 (13-0-34 27.66%),,←,
