Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",29y 41d,205 (127-0-78 61.95%),117 (0.57),←,
38,"Baird, John",21y 327d,6 (3-0-3 50.00%),,←,
12,"Blakey, John",35y 284d,350 (186-0-164 53.14%),107 (0.31),215 (134-0-81 62.33%),69 (0.32)
22,"Burton, Matthew",31y 350d,120 (47-0-73 39.17%),53 (0.44),50 (25-0-25 50.00%),21 (0.42)
23,"Clayton, Shane",23y 192d,93 (48-0-45 51.61%),40 (0.43),75 (46-0-29 61.33%),39 (0.52)
45,"Cochrane, Stuart",23y 288d,39 (18-0-21 46.15%),8 (0.21),←,
2,"Colbert, Leigh",26y 331d,139 (80-1-58 57.91%),62 (0.45),34 (18-0-16 52.94%),12 (0.35)
6,"Grant, Shannon",25y 15d,158 (96-1-61 61.08%),179 (1.13),100 (64-0-36 64.00%),141 (1.41)
29,"Harvey, Brent",23y 355d,115 (73-0-42 63.48%),127 (1.10),←,
34,"King, David",30y 58d,182 (117-0-65 64.29%),93 (0.51),←,
35,"Makepeace, Troy",23y 59d,45 (23-0-22 51.11%),12 (0.27),←,
5,"McCartney, Jason",28y 51d,173 (95-0-78 54.91%),59 (0.34),98 (61-0-37 62.24%),11 (0.11)
32,"Morrell, Digby",22y 206d,9 (4-0-5 44.44%),8 (0.89),←,
19,"Motlop, Daniel",20y 49d,3 (0-0-3 0.00%),,←,
44,"Motlop, Shannon",23y 259d,48 (28-0-20 58.33%),26 (0.54),←,
28,"Pickett, Byron",24y 266d,104 (65-0-39 62.50%),54 (0.52),←,
17,"Porter, Mark",25y 205d,61 (31-0-30 50.82%),14 (0.23),6 (3-0-3 50.00%),1 (0.17)
30,"Robbins, Ben",25y 128d,58 (28-2-28 50.00%),16 (0.28),6 (3-0-3 50.00%),2 (0.33)
26,"Rocca, Saverio",28y 165d,183 (81-2-100 44.81%),577 (3.15),27 (11-0-16 40.74%),63 (2.33)
7,"Simpson, Adam",26y 77d,142 (93-0-49 65.49%),46 (0.32),←,
10,"Stevens, Anthony",30y 306d,239 (147-0-92 61.51%),103 (0.43),←,
36,"Watt, Shannon",21y 159d,23 (13-0-10 56.52%),3 (0.13),←,
Totals,Totals,26y 7d,2495 (1403-6-1086 56.23%),1704 (0.68),,
C,"Pagan, Denis",54y 222d,223 (141-0-82 63.23%),,←,
