Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",30y 42d,151 (86-1-64 57.28%),232 (1.54),←,
13,"Bennell, Harley",24y 329d,83 (20-1-62 24.70%),95 (1.14),2 (0-0-2 0.00%),3 (1.50)
40,"Collins, Sam",23y 73d,14 (3-0-11 21.43%),,←,
36,"Cox, Brennan",19y 14d,10 (2-0-8 20.00%),4 (0.40),←,
17,"Crozier, Hayden",23y 246d,69 (31-0-38 44.93%),44 (0.64),←,
7,"Fyfe, Nat",25y 343d,138 (80-1-57 58.33%),121 (0.88),←,
12,"Griffin, Jonathon",31y 225d,97 (44-0-53 45.36%),36 (0.37),56 (23-0-33 41.07%),29 (0.52)
21,"Hamling, Joel",24y 140d,45 (24-0-21 53.33%),,22 (8-0-14 36.36%),
9,"Hill, Bradley",24y 49d,117 (82-0-35 70.09%),71 (0.61),22 (8-0-14 36.36%),13 (0.59)
32,"Hill, Stephen",27y 118d,190 (99-0-91 52.11%),108 (0.57),←,
15,"Hughes, Ethan",22y 263d,24 (8-0-16 33.33%),1 (0.04),←,
37,"Johnson, Michael",32y 311d,231 (123-1-107 53.46%),65 (0.28),←,
22,"Kersten, Shane",24y 165d,57 (36-0-21 63.16%),65 (1.14),20 (8-0-12 40.00%),24 (1.20)
16,"Mundy, David",32y 38d,272 (143-1-128 52.76%),110 (0.40),←,
27,"Neale, Lachie",24y 95d,113 (57-0-56 50.44%),57 (0.50),←,
38,"Ryan, Luke",21y 202d,11 (2-0-9 18.18%),,←,
11,"Sheridan, Tom",23y 303d,68 (35-0-33 51.47%),22 (0.32),←,
8,"Suban, Nick",27y 110d,156 (80-1-75 51.60%),60 (0.38),←,
33,"Sutcliffe, Cam",25y 96d,100 (58-1-41 58.50%),16 (0.16),←,
20,"Taberner, Matthew",24y 71d,53 (25-0-28 47.17%),52 (0.98),←,
18,"Tucker, Darcy",20y 216d,31 (9-0-22 29.03%),11 (0.35),←,
14,"Weller, Lachie",21y 185d,47 (14-0-33 29.79%),17 (0.36),←,
Totals,Totals,25y 82d,2077 (1061-7-1009 51.08%),1187 (0.57),,
C,"Lyon, Ross",50y 292d,262 (155-5-102 60.11%),,141 (79-1-61 56.38%),
