Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",22y 146d,32 (17-0-15 53.13%),5 (0.16),←,
27,"Ball, Jason",32y 147d,176 (105-0-71 59.66%),157 (0.89),73 (42-0-31 57.53%),43 (0.59)
21,"Barry, Leo",27y 333d,149 (83-0-66 55.70%),50 (0.34),←,
42,"Bevan, Paul",20y 202d,28 (16-0-12 57.14%),10 (0.36),←,
6,"Bolton, Craig",24y 321d,81 (48-0-33 59.26%),17 (0.21),52 (31-0-21 59.62%),7 (0.13)
24,"Bolton, Jude",25y 33d,119 (61-1-57 51.68%),68 (0.57),←,
32,"Buchanan, Amon",22y 189d,26 (13-0-13 50.00%),9 (0.35),←,
28,"Crouch, Jared",27y 43d,160 (83-1-76 52.19%),35 (0.22),←,
2,"Davis, Nick",25y 18d,111 (52-0-59 46.85%),143 (1.29),40 (22-0-18 55.00%),58 (1.45)
26,"Dempster, Sean",21y 87d,2 (1-0-1 50.00%),,←,
37,"Goodes, Adam",25y 99d,139 (71-1-67 51.44%),147 (1.06),←,
1,"Hall, Barry",28y 68d,157 (71-2-84 45.86%),348 (2.22),69 (37-1-31 54.35%),204 (2.96)
16,"Jolly, Darren",23y 162d,52 (22-0-30 42.31%),15 (0.29),4 (2-0-2 50.00%),4 (1.00)
17,"Kennelly, Tadhg",23y 290d,79 (45-0-34 56.96%),25 (0.32),←,
31,"Kirk, Brett",28y 174d,101 (53-1-47 52.97%),46 (0.46),←,
4,"Mathews, Ben",26y 139d,138 (72-1-65 52.54%),26 (0.19),←,
11,"Maxfield, Stuart",33y 8d,288 (145-3-140 50.87%),152 (0.53),199 (110-2-87 55.78%),87 (0.44)
23,"Nicks, Matthew",29y 339d,170 (94-1-75 55.59%),124 (0.73),←,
5,"OKeefe, Ryan",24y 83d,71 (39-0-32 54.93%),73 (1.03),←,
19,"OLoughlin, Michael",28y 56d,200 (111-2-87 56.00%),324 (1.62),←,
8,"Spriggs, David",24y 82d,66 (27-2-37 42.42%),20 (0.30),2 (1-0-1 50.00%),
10,"Williams, Paul",32y 14d,279 (129-3-147 46.77%),300 (1.08),90 (48-1-41 53.89%),77 (0.86)
Totals,Totals,26y 71d,2624 (1358-18-1248 51.75%),2094 (0.80),,
C,"Roos, Paul",41y 294d,62 (37-0-25 59.68%),,←,
