Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",23y 188d,82 (38-2-42 47.56%),49 (0.60),←,
35,"Baxter, Darren",27y 101d,118 (56-3-59 48.73%),22 (0.19),←,
6,"Campbell, Tony",24y 320d,89 (49-0-40 55.06%),61 (0.69),14 (10-0-4 71.43%),
20,"Coleman, Glenn",31y 146d,179 (97-2-80 54.75%),106 (0.59),54 (29-1-24 54.63%),42 (0.78)
26,"Del-Re, Danny",24y 137d,34 (19-1-14 57.35%),72 (2.12),←,
41,"Frost, Michael",21y 182d,2 (1-0-1 50.00%),,←,
29,"Grant, Chris",19y 198d,49 (27-1-21 56.12%),100 (2.04),←,
7,"Hawkins, Doug",32y 54d,278 (115-4-159 42.09%),184 (0.66),←,
10,"Hunter, Mark",26y 299d,71 (32-2-37 46.48%),2 (0.03),←,
4,"Kellett, Nigel",22y 193d,31 (16-0-15 51.61%),10 (0.32),←,
21,"Kolyniuk, Steven",21y 359d,55 (28-1-26 51.82%),69 (1.25),←,
46,"Kretiuk, Steven",19y 360d,2 (1-0-1 50.00%),1 (0.50),←,
39,"Liberatore, Tony",26y 138d,73 (41-1-31 56.85%),44 (0.60),←,
27,"Macpherson, Stephen",27y 209d,152 (74-3-75 49.67%),139 (0.91),←,
2,"Reynolds, Keenan",23y 173d,31 (17-0-14 54.84%),3 (0.10),←,
33,"Royal, Brian",30y 199d,182 (96-2-84 53.30%),261 (1.43),←,
17,"Standfield, Barry",22y 136d,21 (12-0-9 57.14%),5 (0.24),←,
8,"Toohey, Bernard",29y 131d,236 (119-1-116 50.64%),112 (0.47),13 (9-0-4 69.23%),1 (0.08)
24,"Wallis, Stephen",27y 245d,191 (100-2-89 52.88%),45 (0.24),←,
15,"Wynd, Scott",22y 155d,69 (33-1-35 48.55%),11 (0.16),←,
Totals,Totals,25y 105d,1945 (971-26-948 49.92%),1296 (0.67),,
C,"Wheeler, Terry",37y 107d,58 (31-1-26 54.31%),,←,
