Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",24y 270d,76 (46-0-30 60.53%),121 (1.59),38 (28-0-10 73.68%),66 (1.74)
11,"Archer, Glenn",26y 94d,150 (98-0-52 65.33%),97 (0.65),←,
26,"Bell, Peter",23y 117d,88 (59-0-29 67.05%),83 (0.94),86 (59-0-27 68.60%),81 (0.94)
12,"Blakey, John",32y 337d,287 (151-0-136 52.61%),94 (0.33),152 (99-0-53 65.13%),56 (0.37)
16,"Capuano, Mathew",23y 297d,58 (44-0-14 75.86%),17 (0.29),←,
18,"Carey, Wayne",28y 30d,195 (120-0-75 61.54%),514 (2.64),←,
23,"Clayton, Shane",20y 245d,31 (12-0-19 38.71%),7 (0.23),13 (10-0-3 76.92%),6 (0.46)
3,"Dhurrkay, Gary",25y 114d,61 (27-0-34 44.26%),54 (0.89),10 (7-0-3 70.00%),8 (0.80)
6,"Grant, Shannon",22y 68d,96 (60-1-35 63.02%),100 (1.04),38 (28-0-10 73.68%),62 (1.63)
29,"Harvey, Brent",21y 43d,54 (38-0-16 70.37%),56 (1.04),←,
34,"King, David",27y 111d,120 (80-0-40 66.67%),38 (0.32),←,
42,"Kingsley, Kent",20y 273d,4 (4-0-0 100.00%),7 (1.75),←,
5,"McCartney, Jason",25y 104d,110 (59-0-51 53.64%),49 (0.45),35 (25-0-10 71.43%),1 (0.03)
31,"McKernan, Corey",25y 189d,127 (88-0-39 69.29%),134 (1.06),←,
19,"Mooney, Cameron",19y 273d,3 (3-0-0 100.00%),,←,
28,"Pickett, Byron",21y 319d,39 (28-0-11 71.79%),,←,
39,"Rawlings, Brady",18y 16d,9 (8-0-1 88.89%),2 (0.22),←,
8,"Scott, Robert",30y 117d,237 (145-1-91 61.39%),216 (0.91),105 (70-0-35 66.67%),52 (0.50)
24,"Sholl, Craig",31y 178d,211 (126-0-85 59.72%),141 (0.67),←,
7,"Simpson, Adam",23y 130d,78 (57-0-21 73.08%),35 (0.45),←,
10,"Stevens, Anthony",27y 359d,194 (120-0-74 61.86%),91 (0.47),←,
30,"Welsh, Scott",20y 201d,26 (17-0-9 65.38%),19 (0.73),←,
Totals,Totals,24y 210d,2254 (1390-2-862 61.67%),1875 (0.83),,
C,"Pagan, Denis",51y 275d,158 (104-0-54 65.82%),,←,
