Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 296d,77 (16-1-60 21.43%),50 (0.65),←,
30,"Bourke, Damian",28y 180d,106 (58-1-47 55.19%),17 (0.16),4 (0-0-4 0.00%),2 (0.50)
11,"Buckley, Nathan",20y 357d,15 (3-0-12 20.00%),13 (0.87),←,
1,"Champion, Richard",25y 95d,52 (9-1-42 18.27%),24 (0.46),←,
5,"Chapman, Nathan",18y 72d,15 (3-0-12 20.00%),4 (0.27),←,
6,"Fletcher, Adrian",23y 281d,60 (28-0-32 46.67%),31 (0.52),15 (3-0-12 20.00%),11 (0.73)
4,"Gastev, John",28y 341d,126 (38-1-87 30.56%),69 (0.55),96 (21-1-74 22.40%),38 (0.40)
32,"Hart, Shaun",22y 62d,43 (8-1-34 19.77%),9 (0.21),←,
41,"Kennedy, Matthew",23y 164d,52 (9-0-43 17.31%),13 (0.25),←,
31,"McCormack, Brendan",23y 20d,51 (17-0-34 33.33%),35 (0.69),7 (2-0-5 28.57%),8 (1.14)
7,"McIvor, Scott",26y 343d,140 (49-0-91 35.00%),62 (0.44),85 (23-0-62 27.06%),47 (0.55)
19,"McLean, Michael",28y 137d,134 (53-2-79 40.30%),37 (0.28),39 (6-0-33 15.38%),14 (0.36)
40,"McLuckie, Steven",20y 156d,17 (4-1-12 26.47%),8 (0.47),←,
21,"Parker, John",22y 62d,2 (0-0-2 0.00%),,←,
8,"Peos, Paul",25y 171d,61 (25-2-34 42.62%),37 (0.61),10 (1-0-9 10.00%),9 (0.90)
15,"Spargo, Paul",26y 282d,87 (39-2-46 45.98%),117 (1.34),6 (2-0-4 33.33%),8 (1.33)
3,"Voss, Michael",18y 11d,18 (5-0-13 27.78%),8 (0.44),←,
33,"White, Darryl",20y 36d,26 (5-1-20 21.15%),26 (1.00),←,
28,"Windsor, Ray",20y 341d,21 (2-1-18 11.90%),21 (1.00),←,
18,"Worsfold, Peter",23y 7d,27 (2-1-24 9.26%),22 (0.81),←,
Totals,Totals,23y 152d,1130 (373-15-742 33.01%),603 (0.53),,
C,"Walls, Robert",42y 362d,258 (125-2-131 48.84%),,59 (10-1-48 17.80%),
