Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
41,"Butts, Jordon",23y 103d,47 (18-0-29 38.30%),,←,
12,"Dawson, Jordan",26y 4d,91 (41-0-50 45.05%),46 (0.51),27 (11-0-16 40.74%),12 (0.44)
39,"Doedee, Tom",26y 43d,76 (27-0-49 35.53%),3 (0.04),←,
32,"Fogarty, Darcy",23y 200d,61 (20-0-41 32.79%),93 (1.52),←,
20,"Hinge, Mitch",24y 291d,26 (12-0-14 46.15%),4 (0.15),23 (10-0-13 43.48%),3 (0.13)
1,"Jones, Chayce",23y 89d,61 (18-0-43 29.51%),12 (0.20),←,
2,"Keays, Ben",26y 49d,95 (27-0-68 28.42%),40 (0.42),65 (21-0-44 32.31%),29 (0.45)
29,"Laird, Rory",29y 105d,207 (105-1-101 50.97%),27 (0.13),←,
25,"McHenry, Ned",22y 274d,51 (17-0-34 33.33%),25 (0.49),←,
16,"Michalanney, Max",19y 46d,5 (3-0-2 60.00%),,←,
30,"Milera, Wayne",25y 211d,78 (42-1-35 54.49%),27 (0.35),←,
4,"Murphy, Lachlan",24y 130d,80 (33-0-47 41.25%),57 (0.71),←,
28,"Murray, Nick",22y 116d,34 (10-0-24 29.41%),1 (0.03),←,
43,"OBrien, Reilly",27y 236d,82 (31-0-51 37.80%),8 (0.10),←,
10,"Pedlar, Luke",20y 331d,9 (3-0-6 33.33%),6 (0.67),←,
8,"Rachele, Josh",20y 2d,18 (7-0-11 38.89%),27 (1.50),←,
22,"Rankine, Izak",22y 355d,53 (19-1-33 36.79%),69 (1.30),5 (3-0-2 60.00%),12 (2.40)
38,"Sholl, Lachlan",23y 37d,42 (15-0-27 35.71%),9 (0.21),←,
9,"Sloane, Rory",33y 27d,238 (127-1-110 53.57%),130 (0.55),←,
33,"Smith, Brodie",31y 89d,230 (120-1-109 52.39%),68 (0.30),←,
14,"Soligo, Jake",20y 78d,21 (8-0-13 38.10%),9 (0.43),←,
7,"Thilthorpe, Riley",20y 280d,29 (8-0-21 27.59%),33 (1.14),←,
13,"Walker, Taylor",32y 353d,243 (124-1-118 51.23%),546 (2.25),←,
Totals,Totals,24y 277d,1877 (835-6-1036 44.49%),1240 (0.66),,
C,"Nicks, Matthew",47y 335d,65 (21-0-44 32.31%),,←,
