Notes,Previous,Current
Adelaide's lowest score,"47 v Essendon - R4,1991","21 v Essendon - R17,2021"
Adelaide's highest score conceded,"130 v West Coast - R5,1991","210 v Geelong - R8,1992"
St Kilda's biggest win,"110 v Fitzroy - R2,1970","139 v Brisbane Lions - R22,2005"
Adelaide's biggest loss,"65 v West Coast - R5,1991","141 v Brisbane Lions - R17,2004"
