West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Allen, Oscar",11,4,2,13,2,2.0,,1.0,2.0,1.0,,1.0,2.0,,,5.0,6.0,1.0,3.0,3.0,1.0,,89.0
3,"Baker, Liam",10,3,8,18,,,,5.0,3.0,4.0,3.0,,2.0,,,8.0,9.0,,,2.0,1.0,1.0,87.0
41,"Brock, Sandy",5,4,6,11,,,,2.0,2.0,,,3.0,,2.0,,6.0,5.0,1.0,,4.0,,,87.0
10,"Brockman, Tyler",7,3,9,16,,1.0,,6.0,,3.0,3.0,2.0,,2.0,,7.0,9.0,,,,,1.0,80.0
28,"Cole, Tom",8,3,7,15,,1.0,,3.0,,3.0,,1.0,1.0,,,6.0,9.0,1.0,,1.0,,,80.0
15,"Cripps, Jamie",6,1,3,9,1,,,3.0,,3.0,,1.0,1.0,1.0,,6.0,3.0,,,1.0,2.0,1.0,84.0
14,"Duggan, Liam",17,5,4,21,,,,2.0,8.0,2.0,,1.0,1.0,,,2.0,18.0,,,3.0,5.0,,85.0
42,"Edwards, Harry",7,4,3,10,,,,,4.0,1.0,,,1.0,,,5.0,5.0,1.0,,8.0,,,84.0
25,"Flynn, Matt",8,5,9,17,1,,30.0,1.0,2.0,2.0,5.0,4.0,2.0,2.0,,11.0,7.0,1.0,2.0,3.0,,1.0,84.0
7,"Ginbey, Reuben",7,1,4,11,,,,2.0,5.0,1.0,,,2.0,,,4.0,6.0,,,3.0,1.0,,88.0
17,"Graham, Jack",11,3,6,17,1,,,9.0,,7.0,5.0,3.0,1.0,,,10.0,7.0,,1.0,,,,84.0
27 ↑,"Gross, Tom",5,3,5,10,,,,3.0,,1.0,,3.0,,1.0,,5.0,5.0,,,1.0,,,43.0
8,"Hewett, Elijah",5,2,8,13,1,,,6.0,,1.0,2.0,3.0,,2.0,,4.0,9.0,,1.0,,,1.0,69.0
19,"Hough, Brady",13,6,11,24,1,,,5.0,1.0,5.0,2.0,3.0,3.0,,2.0,8.0,16.0,,,1.0,,1.0,81.0
5,"Hunt, Jayden",7,,8,15,1,2.0,,2.0,,2.0,2.0,4.0,1.0,2.0,,7.0,7.0,,,1.0,,1.0,82.0
44,"Hutchinson, Jack",6,4,6,12,,,,,1.0,3.0,1.0,,,,,3.0,9.0,,,2.0,,,80.0
11,"Kelly, Tim",7,2,5,12,,1.0,,3.0,1.0,4.0,2.0,,,,,4.0,8.0,,,1.0,1.0,1.0,86.0
23,"Maric, Ryan",19,4,3,22,,,,2.0,6.0,1.0,,5.0,1.0,,,3.0,13.0,,,4.0,3.0,,89.0
16 ↓,"Owies, Matthew",2,2,1,3,,,,1.0,,1.0,,,,,,1.0,2.0,1.0,,,,,22.0
9,"Reid, Harley",9,3,6,15,2,1.0,,4.0,3.0,5.0,4.0,4.0,2.0,3.0,1.0,12.0,5.0,1.0,1.0,2.0,,,80.0
1,"Ryan, Liam",10,4,4,14,2,1.0,,5.0,,6.0,4.0,1.0,2.0,1.0,3.0,7.0,8.0,,1.0,1.0,1.0,2.0,81.0
2,"Waterman, Jake",10,6,5,15,2,1.0,,1.0,1.0,3.0,,3.0,,2.0,,2.0,14.0,1.0,2.0,,,,91.0
32,"Williams, Bailey",4,1,4,8,2,,15.0,1.0,3.0,,3.0,,,,,7.0,1.0,1.0,1.0,2.0,,,66.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,73,127,321,16,12.0,45.0,67.0,42.0,59.0,36.0,42.0,22.0,18.0,6.0,133.0,181.0,9.0,12.0,43.0,15.0,10.0,
Opposition,Opposition,219,91,157,376,12,8.0,42.0,65.0,42.0,54.0,43.0,67.0,18.0,22.0,,147.0,221.0,12.0,12.0,32.0,5.0,10.0,
