Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",23y 224d,88 (39-2-47 45.45%),27 (0.31),←,
20,"Black, Simon",30y 85d,245 (146-3-96 60.20%),148 (0.60),←,
36,"Bradshaw, Daniel",30y 218d,214 (121-2-91 57.01%),472 (2.21),211 (118-2-91 56.40%),472 (2.24)
17,"Brennan, Jared",24y 334d,91 (45-2-44 50.55%),63 (0.69),←,
16,"Brown, Jonathan",27y 241d,173 (110-2-61 64.16%),383 (2.21),←,
1,"Clark, Mitch",21y 251d,35 (16-1-18 47.14%),21 (0.60),←,
5,"Harding, Scott",23y 8d,42 (23-2-17 57.14%),12 (0.29),←,
14,"Henderson, Lachie",19y 195d,13 (7-0-6 53.85%),3 (0.23),←,
33,"Hooper, Rhan",21y 169d,45 (22-1-22 50.00%),47 (1.04),←,
26,"Macdonald, Joel",24y 260d,71 (40-0-31 56.34%),6 (0.08),←,
9,"McGrath, Ashley",26y 38d,126 (70-1-55 55.95%),102 (0.81),←,
21,"Merrett, Daniel",24y 197d,77 (34-2-41 45.45%),16 (0.21),←,
24,"Patfull, Joel",24y 202d,67 (30-2-35 46.27%),19 (0.28),←,
31,"Polkinghorne, James",20y 157d,13 (8-0-5 61.54%),8 (0.62),←,
6,"Power, Luke",29y 170d,230 (135-2-93 59.13%),197 (0.86),←,
2,"Proud, Albert",20y 294d,18 (9-0-9 50.00%),2 (0.11),←,
10,"Rich, Daniel",19y 20d,13 (8-0-5 61.54%),8 (0.62),←,
35,"Rischitelli, Michael",23y 170d,78 (36-2-40 47.44%),33 (0.42),←,
29,"Roe, Jason",25y 106d,47 (21-1-25 45.74%),7 (0.15),←,
3,"Sheldon, Sam",20y 111d,8 (6-0-2 75.00%),,←,
11,"Sherman, Justin",22y 152d,86 (36-2-48 43.02%),62 (0.72),←,
32,"Stiller, Cheynee",23y 55d,57 (24-2-31 43.86%),15 (0.26),←,
Totals,Totals,23y 349d,1837 (986-29-822 53.67%),1651 (0.90),,
C,"Voss, Michael",33y 355d,13 (8-0-5 61.54%),,←,
