Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
3,"Brereton, Dermott",31y 15d,211 (148-3-60 70.85%),464 (2.20),15 (5-2-8 40.00%),30 (2.00)
26,"Brown, Gavin",27y 343d,162 (85-5-72 54.01%),134 (0.83),←,
5,"Buckley, Nathan",23y 39d,64 (23-2-39 37.50%),56 (0.88),44 (19-2-23 45.45%),35 (0.80)
17,"Burns, Scott",20y 254d,20 (8-1-11 42.50%),2 (0.10),←,
2,"Francis, Tony",26y 155d,102 (59-2-41 58.82%),66 (0.65),←,
15,"Hassall, Jon",22y 20d,42 (19-2-21 47.62%),10 (0.24),←,
38,"James, Aaron",18y 307d,18 (7-2-9 44.44%),6 (0.33),←,
8,"James, Brett",22y 262d,32 (14-1-17 45.31%),24 (0.75),←,
23,"Kelly, Craig",29y 79d,110 (62-3-45 57.73%),43 (0.39),←,
34,"McGuane, Mick",27y 248d,147 (84-3-60 58.16%),120 (0.82),←,
1,"Monkhorst, Damian",26y 13d,139 (81-4-54 59.71%),29 (0.21),←,
6,"Patterson, Stephen",24y 242d,19 (8-1-10 44.74%),21 (1.11),←,
4,"Pert, Gary",30y 98d,233 (119-0-114 51.07%),46 (0.20),70 (42-0-28 60.00%),4 (0.06)
13,"Richardson, Alan",30y 109d,109 (60-4-45 56.88%),10 (0.09),←,
16,"Richardson, Mark",22y 307d,31 (17-1-13 56.45%),37 (1.19),←,
36,"Rocca, Saverio",21y 287d,71 (37-2-32 53.52%),244 (3.44),←,
29,"Russell, Scott",25y 119d,124 (73-3-48 60.08%),77 (0.62),←,
30,"Sharkey, Paul",21y 87d,11 (5-0-6 45.45%),,←,
14,"Watson, Shane",21y 198d,73 (36-1-36 50.00%),46 (0.63),←,
10,"Williams, Paul",22y 153d,92 (48-2-42 53.26%),107 (1.16),←,
19,"Wright, Graham",27y 89d,151 (94-4-53 63.58%),95 (0.63),←,
Totals,Totals,24y 337d,1961 (1087-46-828 55.43%),1637 (0.83),,
C,"Matthews, Leigh",43y 186d,224 (125-5-94 56.92%),,←,
