Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
3,"Bartram, Clint",21y 76d,50 (17-1-32 35.00%),11 (0.22),←,
6,"Bate, Matthew",21y 344d,54 (18-0-36 33.33%),45 (0.83),←,
43,"Bennell, Jamie",18y 330d,6 (1-0-5 16.67%),2 (0.33),←,
32,"Bruce, Cameron",29y 215d,190 (82-1-107 43.42%),198 (1.04),←,
36,"Davey, Aaron",25y 327d,103 (45-1-57 44.17%),132 (1.28),←,
14,"Dunn, Lynden",21y 354d,43 (13-0-30 30.23%),32 (0.74),←,
8,"Frawley, James",20y 225d,26 (7-0-19 26.92%),,←,
11,"Johnson, Paul",24y 311d,49 (12-0-37 24.49%),14 (0.29),48 (11-0-37 22.92%),14 (0.29)
2,"Jones, Nathan",21y 103d,56 (12-1-43 22.32%),21 (0.38),←,
19,"Maric, Addam",19y 15d,6 (1-0-5 16.67%),2 (0.33),←,
34,"Martin, Stefan",22y 167d,13 (3-0-10 23.08%),,←,
23,"McDonald, James",32y 210d,221 (94-1-126 42.76%),50 (0.23),←,
5,"McLean, Brock",23y 53d,81 (34-1-46 42.59%),34 (0.42),←,
26,"Meesen, John",22y 317d,6 (3-0-3 50.00%),,4 (1-0-3 25.00%),
7,"Miller, Brad",25y 301d,116 (42-1-73 36.64%),68 (0.59),←,
22,"Moloney, Brent",25y 95d,75 (30-1-44 40.67%),18 (0.24),52 (18-0-34 34.62%),12 (0.23)
10,"Morton, Cale",19y 105d,25 (3-0-22 12.00%),16 (0.64),←,
15,"Petterd, Ricky",20y 283d,17 (4-0-13 23.53%),12 (0.71),←,
27,"Rivers, Jared",24y 197d,76 (35-1-40 46.71%),4 (0.05),←,
24,"Robertson, Russell",30y 160d,216 (102-1-113 47.45%),402 (1.86),←,
12,"Sylvia, Colin",23y 176d,75 (26-1-48 35.33%),50 (0.67),←,
37,"Warnock, Matthew",25y 30d,27 (5-0-22 18.52%),1 (0.04),←,
Totals,Totals,23y 250d,1531 (589-11-931 38.47%),1112 (0.73),,
C,"Bailey, Dean",42y 105d,28 (4-0-24 14.29%),,←,
