Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
19,"Beveridge, Luke",23y 349d,57 (34-0-23 59.65%),56 (0.98),15 (10-0-5 66.67%),15 (1.00)
18,"Cameron, Leon",21y 339d,79 (42-1-36 53.80%),32 (0.41),←,
11,"Corcoran, Shannon",23y 166d,22 (14-0-8 63.64%),2 (0.09),←,
16,"Croft, Matthew",21y 162d,18 (10-0-8 55.56%),14 (0.78),←,
3,"Grant, Chris",21y 237d,94 (52-1-41 55.85%),206 (2.19),←,
1,"Grgic, Ilija",22y 155d,27 (16-0-11 59.26%),46 (1.70),←,
7,"Hawkins, Doug",34y 94d,325 (141-4-180 44.00%),215 (0.66),←,
10,"Hunter, Mark",28y 338d,106 (51-2-53 49.06%),7 (0.07),←,
33,"Johnson, Brad",18y 20d,3 (2-0-1 66.67%),1 (0.33),←,
12,"Koster, Kym",21y 187d,17 (9-0-8 52.94%),6 (0.35),←,
35,"Kretiuk, Steven",22y 34d,35 (22-0-13 62.86%),8 (0.23),←,
39,"Liberatore, Tony",28y 177d,122 (69-1-52 56.97%),65 (0.53),←,
27,"Macpherson, Stephen",29y 248d,175 (88-3-84 51.14%),150 (0.86),←,
44,"Osborne, Richard",30y 52d,215 (89-0-126 41.40%),472 (2.20),12 (8-0-4 66.67%),22 (1.83)
22,"Quill, Peter",24y 349d,28 (16-0-12 57.14%),11 (0.39),←,
2,"Reynolds, Keenan",25y 212d,68 (38-0-30 55.88%),30 (0.44),←,
8,"Southern, Daniel",19y 218d,18 (10-0-8 55.56%),3 (0.17),←,
17,"Standfield, Barry",24y 175d,68 (39-0-29 57.35%),30 (0.44),←,
24,"Wallis, Stephen",29y 284d,222 (119-2-101 54.05%),52 (0.23),←,
25,"Watts, Jason",23y 9d,17 (9-0-8 52.94%),2 (0.12),←,
14,"West, Scott",19y 266d,34 (19-0-15 55.88%),26 (0.76),←,
Totals,Totals,24y 194d,1750 (889-14-847 50.80%),1434 (0.82),,
C,"Joyce, Alan",51y 290d,109 (76-0-33 69.72%),,16 (9-0-7 56.25%),
