Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
44,"Bail, Rohan",10,5,7,17,1,1.0,,4.0,4.0,1.0,1.0,7.0,1.0,2.0,,6.0,12.0,,1.0,2.0,,,89.0
17,"Blease, Sam",8,1,3,11,,,,1.0,,1.0,1.0,4.0,2.0,2.0,,5.0,6.0,,,,1.0,,73.0
6,"Dawes, Chris",4,2,5,9,,1.0,1.0,4.0,,,,1.0,,,,5.0,3.0,2.0,1.0,,,,89.0
14,"Dunn, Lynden",12,4,3,15,,,,,3.0,1.0,,1.0,1.0,,,2.0,10.0,,,2.0,,,99.0
8,"Frawley, James",12,10,4,16,1,1.0,,,1.0,4.0,,,1.0,,,6.0,10.0,2.0,2.0,2.0,,,93.0
20,"Garland, Colin",8,4,5,13,,,,2.0,4.0,,,2.0,,,,3.0,10.0,,,4.0,,,95.0
38,"Howe, Jeremy",14,12,9,23,,,,4.0,4.0,2.0,,2.0,,1.0,,5.0,18.0,,1.0,3.0,,,97.0
40,"Jamar, Mark",7,1,5,12,,1.0,31.0,6.0,2.0,2.0,5.0,2.0,2.0,2.0,,6.0,6.0,1.0,,1.0,,,85.0
39,"Jetta, Neville",9,3,6,15,,,,2.0,3.0,,2.0,2.0,3.0,,,6.0,9.0,,,2.0,1.0,,94.0
2,"Jones, Nathan",13,2,17,30,1,,,2.0,2.0,4.0,7.0,4.0,2.0,1.0,2.0,14.0,17.0,,,1.0,,,84.0
24 ↑,"Kennedy Harris, Jay",2,1,1,3,,,,1.0,1.0,,,,,,,1.0,2.0,,,,2.0,,30.0
16,"Kent, Dean",12,5,4,16,2,3.0,,,3.0,2.0,,4.0,,2.0,,5.0,12.0,,2.0,1.0,1.0,,70.0
25,"McDonald, Tom",9,5,9,18,,,,1.0,2.0,,1.0,4.0,,1.0,,7.0,10.0,1.0,,15.0,1.0,,88.0
13,"McKenzie, Jordie",5,2,11,16,,1.0,,2.0,,1.0,1.0,3.0,3.0,3.0,,9.0,7.0,1.0,1.0,1.0,,,88.0
21,"Pedersen, Cameron",5,1,6,11,,,6.0,1.0,,5.0,1.0,1.0,1.0,,,6.0,6.0,,,,,1.0,81.0
27,"Riley, Aidan",5,3,9,14,,2.0,,5.0,1.0,1.0,2.0,,,,,7.0,7.0,1.0,2.0,,,,72.0
35 ↓,"Tapscott, Luke",7,4,2,9,,1.0,,1.0,3.0,,,2.0,,,,3.0,6.0,,1.0,1.0,,,49.0
46,"Terlich, Dean",12,5,13,25,,,,4.0,4.0,,1.0,2.0,2.0,,,6.0,19.0,,,3.0,1.0,,84.0
12,"Tyson, Dom",12,6,15,27,1,1.0,,2.0,2.0,5.0,4.0,,,,,10.0,18.0,,2.0,2.0,,,85.0
23,"Vince, Bernie",18,7,8,26,,1.0,,1.0,5.0,3.0,,3.0,1.0,1.0,,6.0,18.0,,1.0,1.0,,1.0,87.0
7,"Viney, Jack",5,2,14,19,,,,3.0,1.0,2.0,3.0,2.0,1.0,,,10.0,9.0,1.0,,2.0,,,83.0
4,"Watts, Jack",8,7,9,17,,,,1.0,2.0,,,1.0,1.0,,,8.0,10.0,1.0,,1.0,,,85.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,92,165,362,6,15.0,38.0,47.0,47.0,34.0,29.0,47.0,21.0,15.0,2.0,136.0,225.0,10.0,14.0,44.0,7.0,2.0,
Opposition,Opposition,216,123,140,356,11,8.0,34.0,57.0,27.0,60.0,38.0,44.0,15.0,21.0,4.0,108.0,242.0,12.0,13.0,51.0,10.0,8.0,
