Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",18y 302d,13 (5-0-8 38.46%),9 (0.69),←,
39,"Davis, Ryan",27y 60d,30 (9-0-21 30.00%),17 (0.57),16 (6-0-10 37.50%),13 (0.81)
12,"Day, Sam",23y 335d,95 (29-1-65 31.05%),61 (0.64),←,
41,"Garlett, Jarrod",20y 95d,15 (4-0-11 26.67%),10 (0.67),←,
2,"Grant, Jarrad",27y 31d,91 (43-0-48 47.25%),93 (1.02),10 (1-0-9 10.00%),10 (1.00)
14,"Hallahan, Mitch",23y 349d,21 (4-0-17 19.05%),6 (0.29),15 (1-0-14 6.67%),4 (0.27)
5,"Harbrow, Jarrod",28y 19d,182 (72-2-108 40.11%),51 (0.28),112 (32-1-79 29.02%),30 (0.27)
38,"Joyce, Jesse",18y 355d,9 (3-0-6 33.33%),,←,
28,"Kolodjashnij, Kade",20y 363d,56 (16-1-39 29.46%),10 (0.18),←,
23,"Lemmens, Sean",21y 278d,48 (15-1-32 32.29%),7 (0.15),←,
19,"Lynch, Tom",23y 280d,99 (28-1-70 28.79%),185 (1.87),←,
4,"Martin, Jack",21y 190d,41 (13-1-27 32.93%),34 (0.83),←,
32,"Matera, Brandon",24y 148d,88 (26-1-61 30.11%),100 (1.14),←,
17,"May, Steven",24y 209d,85 (28-1-56 33.53%),17 (0.20),←,
11,"Miller, Touk",20y 166d,37 (8-1-28 22.97%),10 (0.27),←,
22,"Nicholls, Tom",24y 155d,45 (15-1-29 34.44%),7 (0.16),←,
3,"Rosa, Matt",29y 257d,180 (90-1-89 50.28%),42 (0.23),12 (3-0-9 25.00%),3 (0.25)
36,"Schoenfeld, Josh",19y 34d,3 (1-0-2 33.33%),,←,
6,"Sexton, Alex",22y 247d,53 (15-0-38 28.30%),30 (0.57),←,
26,"Shaw, Matt",24y 183d,97 (26-1-70 27.32%),32 (0.33),←,
16,"Thompson, Rory",25y 147d,76 (24-1-51 32.24%),7 (0.09),←,
30,"Wright, Peter",19y 333d,17 (3-0-14 17.65%),25 (1.47),←,
Totals,Totals,23y 90d,1381 (477-14-890 34.54%),753 (0.55),,
C,"Eade, Rodney",58y 124d,355 (179-5-171 51.13%),,41 (10-1-30 25.61%),
