North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
13,"Adams, Leigh",21y 131d,6 (3-1-2 58.33%),5 (0.83),←,
44,"Anthony, Liam",21y 340d,8 (1-1-6 18.75%),1 (0.13),←,
33,"Campbell, Matt",22y 206d,45 (24-1-20 54.44%),52 (1.16),←,
11,"Firrito, Michael",25y 261d,125 (60-2-63 48.80%),23 (0.18),←,
38,"Gibson, Josh",25y 155d,63 (27-1-35 43.65%),1 (0.02),←,
22,"Goldstein, Todd",21y 45d,14 (6-1-7 46.43%),10 (0.71),←,
24,"Greenwood, Levi",20y 177d,9 (1-1-7 16.67%),1 (0.11),←,
17,"Grima, Nathan",24y 10d,11 (2-1-8 22.73%),,←,
6,"Hansen, Lachlan",20y 363d,27 (11-1-15 42.59%),13 (0.48),←,
4,"Harris, Daniel",27y 97d,149 (72-2-75 48.99%),44 (0.30),←,
29,"Harvey, Brent",31y 93d,277 (150-3-124 54.69%),317 (1.14),←,
21,"Jones, Corey",28y 170d,155 (72-2-81 47.10%),212 (1.37),←,
1,"McIntosh, Hamish",24y 345d,77 (30-2-45 40.26%),37 (0.48),←,
42,"McMahon, Scott",23y 74d,49 (23-1-25 47.96%),23 (0.47),←,
20,"Petrie, Drew",26y 304d,174 (81-3-90 47.41%),148 (0.85),←,
5,"Power, Sam",26y 44d,123 (44-4-75 37.40%),18 (0.15),39 (16-2-21 43.59%),2 (0.05)
30,"Pratt, Daniel",26y 147d,98 (47-1-50 48.47%),9 (0.09),95 (46-1-48 48.95%),8 (0.08)
3,"Rawlings, Brady",28y 66d,199 (98-2-99 49.75%),59 (0.30),←,
9,"Swallow, Andrew",22y 74d,60 (24-1-35 40.83%),28 (0.47),←,
12,"Thomas, Lindsay",21y 168d,53 (23-2-28 45.28%),63 (1.19),←,
16,"Thompson, Scott",23y 98d,26 (5-2-19 23.08%),,←,
14,"Urquhart, Gavin",21y 89d,32 (11-0-21 34.38%),,←,
Totals,Totals,24y 107d,1780 (815-35-930 45.79%),1064 (0.60),,
C,"Crocker, Darren",42y 142d,8 (1-1-6 18.75%),,←,
