Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
14,"Billings, Jack",28y 297d,166 (68-1-97 41.27%),110 (0.66),11 (6-0-5 54.55%),2 (0.18)
17,"Bowey, Jake",21y 272d,53 (36-0-17 67.92%),6 (0.11),←,
37,"Chandler, Kade",24y 149d,46 (28-0-18 60.87%),34 (0.74),←,
31,"Fritsch, Bayley",27y 187d,139 (80-1-58 57.91%),239 (1.72),←,
11,"Gawn, Max",32y 163d,216 (108-1-107 50.23%),105 (0.49),←,
22,"Howes, Blake",21y 64d,11 (6-0-5 54.55%),,←,
15,"Langdon, Ed",28y 130d,169 (92-1-76 54.73%),70 (0.41),101 (67-1-33 66.83%),37 (0.37)
16,"Laurie, Bailey",22y 78d,9 (6-0-3 66.67%),2 (0.22),←,
1,"May, Steven",32y 152d,228 (104-2-122 46.05%),24 (0.11),105 (66-1-38 63.33%),3 (0.03)
25,"McDonald, Tom",31y 266d,222 (99-1-122 44.82%),168 (0.76),←,
4,"McVee, Judd",20y 308d,38 (23-0-15 60.53%),,←,
30,"Neal-Bullen, Alex",28y 153d,166 (97-1-68 58.73%),113 (0.68),←,
13,"Oliver, Clayton",26y 324d,175 (100-1-74 57.43%),53 (0.30),←,
5,"Petracca, Christian",28y 158d,189 (107-1-81 56.88%),184 (0.97),←,
35,"Petty, Harry",24y 211d,73 (42-1-30 58.22%),22 (0.30),←,
36,"Pickett, Kysaiah",23y 8d,96 (64-1-31 67.19%),142 (1.48),←,
24,"Rivers, Trent",22y 316d,90 (61-1-28 68.33%),7 (0.08),←,
3,"Salem, Christian",28y 331d,169 (86-1-82 51.18%),26 (0.15),←,
32,"Sparrow, Tom",24y 10d,87 (56-1-30 64.94%),31 (0.36),←,
42,"Turner, Daniel",22y 134d,8 (4-0-4 50.00%),4 (0.50),←,
2,"van Rooyen, Jacob",21y 55d,31 (21-0-10 67.74%),44 (1.42),←,
7,"Viney, Jack",30y 58d,209 (96-1-112 46.17%),63 (0.30),←,
6,"Windsor, Caleb",19y 1d,13 (7-0-6 53.85%),5 (0.38),←,
Totals,Totals,25y 262d,2603 (1391-16-1196 53.44%),1452 (0.56),,
C,"Goodwin, Simon",47y 167d,173 (100-1-72 58.09%),,172 (100-1-71 58.43%),
