Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
18,"Cameron, Leon",23y 343d,115 (58-2-55 51.30%),47 (0.41),←,
21,"Campbell, Tony",28y 363d,117 (63-0-54 53.85%),64 (0.55),42 (24-0-18 57.14%),3 (0.07)
11,"Curley, Todd",23y 209d,21 (5-1-15 26.19%),23 (1.10),18 (3-1-14 19.44%),22 (1.22)
14,"Darcy, Luke",21y 29d,21 (5-1-15 26.19%),10 (0.48),←,
3,"Grant, Chris",23y 241d,141 (69-3-69 50.00%),275 (1.95),←,
1,"Grgic, Ilija",24y 158d,62 (32-1-29 52.42%),92 (1.48),←,
37,"Hargraves, Daniel",20y 199d,31 (12-0-19 38.71%),54 (1.74),←,
6,"Johnson, Brad",20y 23d,49 (18-2-29 38.78%),29 (0.59),←,
4,"Kellett, Nigel",26y 236d,94 (45-2-47 48.94%),41 (0.44),←,
2,"Kolyniuk, Steven",26y 36d,117 (57-1-59 49.15%),127 (1.09),←,
35,"Kretiuk, Steven",24y 37d,58 (31-1-26 54.31%),9 (0.16),←,
39,"Liberatore, Tony",30y 181d,170 (87-3-80 52.06%),81 (0.48),←,
23,"Martin, Michael",19y 167d,10 (2-1-7 25.00%),3 (0.30),←,
22,"Quill, Peter",26y 353d,61 (30-2-29 50.82%),19 (0.31),←,
36,"Romero, Jose",25y 9d,123 (61-1-61 50.00%),117 (0.95),34 (12-1-21 36.76%),19 (0.56)
5,"Smith, Rohan",23y 71d,72 (34-2-36 48.61%),37 (0.51),←,
24,"Wallis, Stephen",31y 288d,258 (129-4-125 50.78%),57 (0.22),←,
25,"Watts, Jason",25y 12d,49 (21-1-27 43.88%),44 (0.90),←,
7,"West, Scott",21y 270d,76 (35-1-40 46.71%),36 (0.47),←,
45,"Wira, Brad",24y 147d,19 (4-1-14 23.68%),,18 (4-1-13 25.00%),
15,"Wynd, Scott",26y 198d,144 (68-3-73 48.26%),24 (0.17),←,
Totals,Totals,24y 240d,1808 (866-33-909 47.90%),1189 (0.66),,
C,"Wallace, Terry",37y 241d,7 (2-0-5 28.57%),,←,
