Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",28y 145d,116 (73-2-41 63.79%),142 (1.22),←,
16,"Barnard, Paul",27y 48d,74 (45-0-29 60.81%),19 (0.26),63 (42-0-21 66.67%),15 (0.24)
22,"Barnes, John",30y 305d,160 (87-2-71 55.00%),81 (0.51),16 (10-1-5 65.63%),16 (1.00)
8,"Bewick, Darren",32y 224d,223 (139-1-83 62.56%),323 (1.45),←,
32,"Blumfield, Justin",22y 129d,74 (46-0-28 62.16%),43 (0.58),←,
31,"Fletcher, Dustin",24y 330d,132 (86-3-43 66.29%),39 (0.30),←,
30,"Fraser, Mark",29y 57d,108 (65-2-41 61.11%),49 (0.45),63 (39-2-22 63.49%),26 (0.41)
11,"Hardwick, Damien",27y 227d,112 (67-1-44 60.27%),12 (0.11),←,
26,"Heffernan, Chris",21y 63d,41 (28-0-13 68.29%),17 (0.41),←,
5,"Hird, James",27y 57d,114 (68-4-42 61.40%),197 (1.73),←,
14,"Johnson, Jason",22y 67d,19 (14-0-5 73.68%),4 (0.21),←,
1,"Johnson, Mark",21y 314d,19 (17-0-2 89.47%),3 (0.16),←,
18,"Lloyd, Matthew",21y 351d,85 (50-1-34 59.41%),267 (3.14),←,
13,"Long, Michael",30y 183d,164 (109-2-53 67.07%),131 (0.80),←,
25,"Lucas, Scott",22y 93d,71 (39-0-32 54.93%),98 (1.38),←,
2,"Mercuri, Mark",26y 40d,133 (84-3-46 64.29%),184 (1.38),←,
24,"Misiti, Joe",25y 144d,144 (86-4-54 61.11%),56 (0.39),←,
29,"Moorcroft, Gary",23y 351d,47 (30-0-17 63.83%),52 (1.11),←,
15,"Prior, Michael",26y 208d,71 (39-1-31 55.63%),19 (0.27),←,
7,"Solomon, Dean",20y 83d,30 (19-0-11 63.33%),8 (0.27),←,
21,"Wallis, Dean",30y 218d,114 (71-1-42 62.72%),40 (0.35),←,
6,"Wellman, Sean",25y 194d,114 (60-2-52 53.51%),14 (0.12),80 (47-1-32 59.38%),5 (0.06)
Totals,Totals,25y 307d,2165 (1322-29-814 61.06%),1798 (0.83),,
C,"Sheedy, Kevin",52y 99d,451 (286-5-160 63.97%),,←,
