Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
40,"Birss, Shane",4,2,5,9,1,1.0,,2.0,,2.0,1.0,,2.0,,,4.0,5.0,1.0,,3.0,,,68.0
20,"Bowden, Patrick",8,6,2,10,1,,,,,4.0,2.0,3.0,,,,6.0,4.0,3.0,1.0,4.0,,1.0,96.0
42,"Boyd, Matthew",,,3,3,,,,,,,1.0,,,,,1.0,2.0,,,,,,13.0
17,"Brown, Nathan",9,6,3,12,4,2.0,,2.0,2.0,,,3.0,1.0,1.0,,3.0,8.0,1.0,3.0,1.0,,1.0,100.0
24,"Bruton, Nicholas",,1,1,1,,,,,,,,2.0,,2.0,,,1.0,,,,,,13.0
16,"Croft, Matthew",5,2,2,7,,,,2.0,4.0,,,1.0,1.0,,,2.0,5.0,,,7.0,,,100.0
14,"Darcy, Luke",8,5,7,15,,,10.0,3.0,,2.0,2.0,1.0,1.0,,,5.0,9.0,,,1.0,,,96.0
28,"Dimattina, Paul",10,4,14,24,,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,,,11.0,13.0,,1.0,1.0,7.0,,91.0
4,"Garlick, Simon",6,3,6,12,1,,,2.0,1.0,1.0,2.0,,1.0,,,3.0,9.0,,1.0,2.0,,3.0,100.0
13,"Giansiracusa, Daniel",12,6,8,20,,,,5.0,3.0,4.0,,2.0,1.0,,1.0,6.0,14.0,1.0,,1.0,2.0,1.0,85.0
9,"Gilbee, Lindsay",12,4,9,21,1,,,3.0,5.0,2.0,1.0,,,,,8.0,12.0,1.0,,2.0,2.0,1.0,89.0
8,"Hahn, Mitch",10,7,8,18,,,3.0,7.0,3.0,7.0,4.0,5.0,1.0,2.0,,8.0,11.0,2.0,,5.0,3.0,1.0,88.0
22,"Harrison, Ben",1,1,4,5,,,,2.0,1.0,,,,,,,3.0,2.0,,,6.0,1.0,,69.0
6,"Johnson, Brad",16,10,7,23,1,2.0,,1.0,,6.0,2.0,1.0,,,,9.0,12.0,2.0,2.0,1.0,,2.0,100.0
36,"Lake, Brian",4,1,2,6,2,,,1.0,,,,3.0,,1.0,,4.0,1.0,1.0,1.0,3.0,,,91.0
29,"McGuinness, Kieran",6,4,3,9,,,,1.0,2.0,1.0,,1.0,,,,2.0,6.0,1.0,,1.0,,,44.0
23,"McMahon, Jordan",12,2,11,23,1,,,,2.0,3.0,1.0,3.0,,1.0,,6.0,17.0,1.0,1.0,2.0,1.0,,79.0
2,"Murphy, Robert",9,2,5,14,,,,2.0,5.0,2.0,,1.0,,,,5.0,9.0,1.0,,1.0,,,100.0
15,"Power, Sam",5,1,7,12,,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,7.0,6.0,,,,,,78.0
30,"Robbins, Matthew",9,1,8,17,,,,2.0,6.0,1.0,1.0,1.0,,,,6.0,10.0,1.0,,3.0,2.0,,100.0
5,"Smith, Rohan",13,4,15,28,1,,,,5.0,5.0,,2.0,,1.0,2.0,3.0,22.0,,,2.0,7.0,,100.0
7,"West, Scott",13,3,12,25,1,1.0,,7.0,2.0,4.0,5.0,,,,,13.0,12.0,,,1.0,1.0,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,172,75,142,314,14,9.0,14.0,44.0,46.0,48.0,29.0,33.0,10.0,9.0,3.0,115.0,190.0,16.0,10.0,47.0,26.0,10.0,
Opposition,Opposition,204,97,136,340,16,13.0,51.0,36.0,29.0,67.0,43.0,34.0,9.0,10.0,3.0,127.0,211.0,9.0,14.0,38.0,4.0,8.0,
