Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
38,"Atkinson, Jarrod",24y 195d,10 (5-1-4 55.00%),4 (0.40),←,
15,"Dempsey, Courtenay",22y 7d,30 (10-1-19 35.00%),10 (0.33),←,
2,"Dyson, Ricky",23y 341d,87 (32-2-53 37.93%),39 (0.45),←,
31,"Fletcher, Dustin",34y 120d,312 (188-4-120 60.90%),66 (0.21),←,
39,"Hocking, Heath",21y 251d,23 (10-1-12 45.65%),9 (0.39),←,
26,"Hooker, Cale",20y 326d,18 (6-0-12 33.33%),3 (0.17),←,
22,"Hurley, Michael",19y 95d,10 (3-1-6 35.00%),10 (1.00),←,
42,"Lovett-Murray, Nathan",26y 290d,99 (35-1-63 35.86%),56 (0.57),←,
13,"Lovett, Andrew",26y 297d,88 (30-1-57 34.66%),93 (1.06),←,
33,"McPhee, Adam",26y 333d,167 (65-1-101 39.22%),92 (0.55),142 (59-1-82 41.90%),83 (0.58)
10,"McVeigh, Mark",28y 221d,188 (91-3-94 49.20%),94 (0.50),←,
6,"Monfries, Angus",22y 228d,93 (32-2-59 35.48%),92 (0.99),←,
1,"Neagle, Jay",21y 230d,20 (7-1-12 37.50%),30 (1.50),←,
16,"Pears, Tayte",19y 164d,28 (10-1-17 37.50%),3 (0.11),←,
9,"Prismall, Brent",23y 52d,38 (23-2-13 63.16%),20 (0.53),13 (5-1-7 42.31%),5 (0.38)
41,"Quinn, Michael",19y 221d,6 (2-1-3 41.67%),2 (0.33),←,
21,"Skipworth, Hayden",26y 191d,55 (29-0-26 52.73%),33 (0.60),11 (4-0-7 36.36%),11 (1.00)
20,"Slattery, Henry",23y 225d,73 (28-2-43 39.73%),11 (0.15),←,
5,"Stanton, Brent",23y 126d,121 (44-2-75 37.19%),75 (0.62),←,
4,"Watson, Jobe",24y 208d,94 (37-2-55 40.43%),34 (0.36),←,
12,"Welsh, Andrew",26y 205d,145 (60-2-83 42.07%),29 (0.20),←,
8,"Winderlich, Jason",24y 329d,75 (28-0-47 37.33%),38 (0.51),←,
Totals,Totals,24y 62d,1780 (775-31-974 43.54%),843 (0.47),,
C,"Knights, Matthew",38y 334d,45 (18-1-26 41.11%),,←,
