Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
27,"Chick, Daniel",20y 154d,15 (7-1-7 50.00%),7 (0.47),←,
5,"Collins, Andrew",31y 79d,205 (131-1-73 64.15%),36 (0.18),←,
3,"Condon, Anthony",28y 220d,133 (92-0-41 69.17%),45 (0.34),←,
9,"Crawford, Shane",21y 308d,72 (37-1-34 52.08%),61 (0.85),←,
19,"Dunstall, Jason",31y 334d,240 (166-1-73 69.38%),1136 (4.73),←,
34,"Graham, Mark",23y 122d,57 (27-1-29 48.25%),8 (0.14),←,
15,"Harford, Daniel",19y 116d,25 (10-0-15 40.00%),12 (0.48),←,
22,"Hargreaves, Tim",21y 44d,38 (16-1-21 43.42%),55 (1.45),←,
2,"Holland, Nick",21y 350d,30 (11-1-18 38.33%),22 (0.73),←,
17,"Hudson, Paul",25y 359d,127 (76-0-51 59.84%),256 (2.02),←,
1,"Jencke, Ray",30y 110d,181 (117-1-63 64.92%),27 (0.15),←,
11,"Kappler, Darren",31y 172d,157 (51-1-105 32.80%),133 (0.85),11 (6-1-4 59.09%),8 (0.73)
14,"Krummel, Brendan",24y 19d,14 (8-0-6 57.14%),3 (0.21),4 (2-0-2 50.00%),
24,"Langford, Chris",33y 193d,287 (199-2-86 69.69%),31 (0.11),←,
44,"Platten, John",33y 118d,234 (155-1-78 66.45%),211 (0.90),←,
18,"Pritchard, Darrin",30y 114d,191 (128-1-62 67.28%),92 (0.48),←,
10,"Robran, Jonathon",23y 266d,17 (8-0-9 47.06%),,←,
4,"Salmon, Paul",31y 175d,219 (127-3-89 58.68%),512 (2.34),10 (4-1-5 45.00%),3 (0.30)
6,"Taylor, Richard",22y 365d,27 (13-1-13 50.00%),12 (0.44),←,
33,"Treleven, Craig",26y 29d,15 (7-1-7 50.00%),6 (0.40),←,
30,"Woods, Tony",27y 11d,63 (27-1-35 43.65%),15 (0.24),32 (11-1-20 35.94%),5 (0.16)
Totals,Totals,26y 244d,2347 (1413-19-915 60.20%),2680 (1.14),,
C,"Judge, Ken",38y 180d,15 (7-1-7 50.00%),,←,
