Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
41,"Butts, Jordon",8,5,2,10,,,,,6.0,,1.0,1.0,1.0,1.0,,4.0,6.0,1.0,,7.0,,,87.0
15,"Cook, Brayden",4,2,,4,1,,,2.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,,,71.0
5,"Crouch, Matt",10,4,18,28,,,,7.0,3.0,1.0,6.0,1.0,,1.0,1.0,11.0,16.0,,,,,,71.0
6 ↓,"Curtin, Daniel",5,4,4,9,,,,,,1.0,,,,,,3.0,6.0,,,1.0,,,56.0
12,"Dawson, Jordan",19,5,5,24,,,,5.0,2.0,8.0,5.0,4.0,1.0,1.0,,8.0,13.0,1.0,,1.0,1.0,1.0,84.0
32,"Fogarty, Darcy",9,9,5,14,2,1.0,,4.0,,2.0,1.0,3.0,2.0,1.0,,7.0,7.0,4.0,2.0,,,,83.0
34,"Himmelberg, Elliott",8,4,2,10,,,6.0,2.0,,1.0,,,,,,5.0,5.0,1.0,1.0,4.0,,1.0,83.0
20,"Hinge, Mitch",15,2,10,25,,,,5.0,8.0,,1.0,6.0,2.0,,,9.0,9.0,,,1.0,,,79.0
1,"Jones, Chayce",7,,5,12,,,,2.0,3.0,2.0,2.0,4.0,,1.0,,6.0,5.0,,,1.0,,,88.0
48,"Keane, Mark",11,4,6,17,,,,1.0,6.0,,,5.0,2.0,2.0,,6.0,9.0,1.0,,5.0,,,92.0
2,"Keays, Ben",8,2,5,13,1,1.0,,4.0,1.0,4.0,2.0,1.0,,,,5.0,8.0,,1.0,1.0,,,86.0
29,"Laird, Rory",10,3,17,27,,,,7.0,1.0,4.0,4.0,4.0,2.0,1.0,,9.0,17.0,,,1.0,,,69.0
25,"McHenry, Ned",7,3,6,13,1,,,1.0,,1.0,,2.0,,1.0,,4.0,10.0,,1.0,1.0,,1.0,65.0
16,"Michalanney, Max",13,5,2,15,,,,6.0,4.0,2.0,,,2.0,,,3.0,12.0,,,2.0,,1.0,87.0
27,"Nankervis, Luke",9,8,7,16,,,,1.0,2.0,2.0,,1.0,1.0,1.0,,4.0,12.0,1.0,,,,,82.0
43,"OBrien, Reilly",7,1,7,14,,,40.0,3.0,1.0,2.0,3.0,5.0,1.0,2.0,,6.0,6.0,,,6.0,,,80.0
8,"Rachele, Josh",10,7,7,17,1,1.0,,2.0,,5.0,,4.0,,2.0,,3.0,14.0,,1.0,2.0,,3.0,83.0
23,"Rankine, Izak",8,3,3,11,3,,,3.0,,5.0,1.0,3.0,,1.0,,5.0,8.0,,1.0,3.0,2.0,2.0,90.0
38,"Sholl, Lachlan",12,6,7,19,1,,,3.0,1.0,1.0,1.0,1.0,,,,4.0,16.0,,1.0,1.0,,1.0,77.0
33 ↑,"Smith, Brodie",1,,1,2,,,,3.0,1.0,,,,,,,1.0,,,,,,,26.0
14,"Soligo, Jake",14,1,14,28,,,,10.0,4.0,4.0,6.0,4.0,5.0,1.0,3.0,15.0,16.0,,,1.0,,,79.0
13,"Walker, Taylor",8,4,2,10,2,1.0,,1.0,,1.0,,1.0,,,,4.0,7.0,,2.0,5.0,1.0,,89.0
24,"Worrell, Josh",17,7,5,22,,,,1.0,7.0,1.0,,4.0,2.0,,,8.0,10.0,2.0,,6.0,1.0,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,220,89,140,360,12,6.0,46.0,73.0,51.0,47.0,33.0,54.0,21.0,16.0,4.0,132.0,214.0,11.0,11.0,50.0,5.0,10.0,
Opposition,Opposition,194,69,139,333,5,18.0,45.0,65.0,34.0,57.0,43.0,59.0,16.0,21.0,2.0,146.0,184.0,11.0,10.0,44.0,10.0,4.0,
