West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details,West Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),West Coast Games (W-D-L W%),West Coast Goals (Ave.)
26,"Ball, Jason",22y 187d,26 (19-0-7 73.08%),35 (1.35),←,
6,"Banfield, Drew",21y 89d,40 (28-0-12 70.00%),10 (0.25),←,
20,"Bond, Shane",19y 322d,27 (21-0-6 77.78%),19 (0.70),←,
14,"Brennan, Michael",29y 332d,168 (104-2-62 62.50%),19 (0.11),←,
15,"Dunstan, Michael",24y 76d,41 (16-0-25 39.02%),31 (0.76),3 (2-0-1 66.67%),1 (0.33)
18,"Evans, Tony",25y 347d,60 (43-0-17 71.67%),52 (0.87),←,
1,"Heady, Brett",25y 143d,106 (72-2-32 68.87%),177 (1.67),←,
22,"Hynes, David",28y 57d,68 (50-1-17 74.26%),53 (0.78),←,
27,"Jakovich, Glen",22y 64d,96 (66-1-29 69.27%),21 (0.22),←,
2,"Kemp, Dean",26y 99d,119 (84-2-33 71.43%),63 (0.53),←,
37,"Lyle, Brayden",22y 82d,2 (1-0-1 50.00%),,←,
30,"Matera, Peter",26y 54d,104 (76-1-27 73.56%),116 (1.12),←,
17,"McKenna, Guy",26y 16d,156 (102-1-53 65.71%),15 (0.10),←,
8,"Metropolis, Daniel",23y 71d,12 (6-0-6 50.00%),12 (1.00),←,
10,"Pyke, Don",26y 173d,111 (71-0-40 63.96%),63 (0.57),←,
16,"Symmons, Paul",21y 267d,12 (8-0-4 66.67%),4 (0.33),←,
7,"Turley, Craig",29y 276d,103 (66-2-35 65.05%),81 (0.79),←,
50,"Turnbull, Ryan",23y 246d,43 (31-0-12 72.09%),11 (0.26),←,
39,"Waterman, Chris",26y 250d,118 (79-2-37 67.80%),56 (0.47),←,
12,"White, Mitchell",22y 60d,58 (39-1-18 68.10%),10 (0.17),←,
24,"Worsfold, John",26y 244d,161 (105-2-54 65.84%),25 (0.16),←,
Totals,Totals,24y 286d,1631 (1087-17-527 66.65%),873 (0.54),,
C,"Malthouse, Mick",41y 283d,268 (161-4-103 60.82%),,133 (94-2-37 71.43%),
