Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
4,"Bastinac, Ryan",24y 348d,132 (68-0-64 51.52%),69 (0.52),11 (1-0-10 9.09%),3 (0.27)
7,"Bell, Tom",24y 357d,62 (19-1-42 31.45%),48 (0.77),11 (1-0-10 9.09%),12 (1.09)
3,"Christensen, Allen",25y 16d,98 (54-0-44 55.10%),82 (0.84),33 (5-0-28 15.15%),26 (0.79)
26,"Cutler, Tom",21y 105d,25 (6-0-19 24.00%),6 (0.24),←,
34,"Freeman, Jonathan",22y 38d,14 (3-0-11 21.43%),16 (1.14),←,
11,"Hanley, Pearce",27y 202d,118 (36-0-82 30.51%),51 (0.43),←,
2,"Harwood, Ryan",24y 302d,70 (24-0-46 34.29%),6 (0.09),←,
16,"Jansen, Jarrad",21y 33d,1 (0-0-1 0.00%),1 (1.00),←,
1,"Keays, Ben",19y 102d,6 (0-0-6 0.00%),3 (0.50),←,
12,"Martin, Stefan",29y 200d,105 (25-1-79 24.29%),36 (0.34),48 (11-0-37 22.92%),13 (0.27)
32,"Mayes, Sam",22y 15d,63 (20-0-43 31.75%),25 (0.40),←,
25,"McStay, Daniel",20y 346d,37 (8-0-29 21.62%),28 (0.76),←,
21,"Merrett, Daniel",31y 175d,190 (77-3-110 41.32%),69 (0.36),←,
39,"Paine, Jackson",22y 349d,15 (5-0-10 33.33%),11 (0.73),9 (1-0-8 11.11%),3 (0.33)
10,"Rich, Daniel",25y 363d,132 (45-1-86 34.47%),84 (0.64),←,
18,"Robertson, Nick",21y 1d,23 (3-0-20 13.04%),5 (0.22),←,
5,"Robinson, Mitch",26y 363d,131 (56-1-74 43.13%),68 (0.52),31 (5-0-26 16.13%),10 (0.32)
38,"Rockliff, Tom",26y 103d,123 (39-0-84 31.71%),61 (0.50),←,
23,"Schache, Josh",18y 288d,10 (1-0-9 10.00%),8 (0.80),←,
28,"Taylor, Lewis",21y 108d,54 (12-0-42 22.22%),40 (0.74),←,
13,"West, Trent",28y 231d,69 (45-0-24 65.22%),28 (0.41),15 (3-0-12 20.00%),5 (0.33)
15,"Zorko, Dayne",27y 116d,91 (30-0-61 32.97%),93 (1.02),←,
Totals,Totals,24y 106d,1569 (576-7-986 36.71%),838 (0.53),,
C,"Leppitsch, Justin",40y 247d,55 (12-0-43 21.82%),,←,
