Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
15,"Abraham, Winston",14,5,,14,1,3.0,,2.0,,,,,,1.0,,,,,,,,,
18,"Brown, Michael",8,4,2,10,1,2.0,,,,,,,1.0,,,,,,,,,,
42,"Callaghan, Craig",19,3,9,28,1,,,5.0,,,,,3.0,3.0,,,,,,,,,
13,"Chisholm, Scott",12,6,3,15,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
31,"Clement, James",5,2,4,9,,,,2.0,,,,,1.0,,,,,,,,,,
19,"Dhurrkay, Gary",12,2,,12,1,,,1.0,,,,,2.0,2.0,,,,,,,,,
6,"Gilbert, Phil",4,2,,4,,,,4.0,,,,,2.0,1.0,,,,,,,,,
14,"Hunter, Kingsley",3,,1,4,,1.0,,,,,,,,,,,,,,,,,
16,"Hynes, David",10,4,3,13,,,8.0,1.0,,,,,1.0,,,,,,,,,,
38,"Jones, Anthony",10,5,3,13,,,,,,,,,,,,,,,,,,,
11,"Kickett, Dale",7,6,7,14,,,,4.0,,,,,1.0,,,,,,,,,,
9,"Mann, Peter",10,4,2,12,2,2.0,1.0,,,,,,1.0,3.0,,,,,,,,,
43,"McGovern, Andrew",6,2,3,9,,,,1.0,,,,,3.0,,,,,,,,,,
45,"Mitchell, Gavin",12,2,9,21,,1.0,,2.0,,,,,1.0,,,,,,,,,,
21,"Muir, David",2,1,5,7,,,,2.0,,,,,,,,,,,,,,,
25,"Norrish, Jason",6,6,12,18,,,,,,,,,,1.0,,,,,,,,,
10,"OReilly, Stephen",11,3,1,12,,,,,,,,,1.0,1.0,,,,,,,,,
23,"Parker, Shane",11,4,7,18,1,,,2.0,,,,,1.0,,,,,,,,,,
40,"Toia, Luke",15,4,14,29,1,2.0,,5.0,,,,,,2.0,,,,,,,,,
34,"White, Jeff",4,1,4,8,,,4.0,1.0,,,,,2.0,,,,,,,,,,
4,"Wills, Andrew",8,2,5,13,2,,,1.0,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,189,68,94,283,11,18.0,13.0,34.0,,,,,22.0,14.0,,,,,,,,,
Opposition,Opposition,205,88,160,365,23,7.0,16.0,46.0,,,,,14.0,22.0,6.0,,,,,,,,
