Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Bell, Peter",11,3,6,17,,,,3.0,3.0,2.0,2.0,,,,,3.0,14.0,,,,1.0,1.0,95.0
21,"Black, Heath",15,5,3,18,1,,,,3.0,4.0,1.0,3.0,,2.0,,2.0,16.0,,,2.0,,,93.0
2,"Carr, Josh",20,11,7,27,2,,,2.0,5.0,3.0,2.0,5.0,,1.0,,5.0,20.0,,2.0,1.0,3.0,,96.0
9,"Carr, Matthew",21,5,2,23,1,,,2.0,1.0,9.0,,3.0,2.0,2.0,,6.0,17.0,,,1.0,,,96.0
10,"Cook, Troy",7,4,7,14,,1.0,,4.0,2.0,,,1.0,1.0,,,8.0,7.0,,1.0,,,,70.0
25,"Dodd, Steven",7,3,4,11,,,,4.0,,,2.0,3.0,2.0,,,5.0,7.0,,,3.0,,1.0,81.0
33,"Farmer, Jeff",6,5,4,10,1,,,2.0,,2.0,,4.0,,1.0,,2.0,7.0,1.0,1.0,,2.0,2.0,78.0
4,"Hasleby, Paul",11,3,6,17,1,,,2.0,,5.0,5.0,,2.0,,1.0,11.0,5.0,1.0,,2.0,2.0,,97.0
11,"Headland, Des",11,5,7,18,1,,,3.0,1.0,2.0,1.0,6.0,1.0,,,5.0,13.0,,1.0,1.0,2.0,,77.0
20,"Longmuir, Justin",8,7,6,14,1,,6.0,1.0,,3.0,3.0,4.0,3.0,3.0,,7.0,7.0,2.0,,,,,70.0
8,"McManus, Shaun",3,2,3,6,,,,1.0,2.0,,,,1.0,,,3.0,3.0,,,2.0,1.0,,39.0
18,"McPharlin, Luke",8,6,2,10,,,,3.0,3.0,,,5.0,2.0,5.0,,8.0,3.0,4.0,,4.0,1.0,,96.0
34,"Medhurst, Paul",5,4,,5,1,2.0,,,,1.0,,3.0,,,,1.0,4.0,,3.0,,,1.0,97.0
23,"Parker, Shane",12,6,4,16,,,,2.0,6.0,,,,,,,4.0,12.0,,,2.0,1.0,,93.0
29,"Pavlich, Matthew",13,8,2,15,2,2.0,,2.0,,6.0,,2.0,2.0,,,5.0,10.0,2.0,4.0,3.0,,1.0,100.0
12,"Polak, Graham",6,3,8,14,,,,2.0,2.0,,1.0,1.0,2.0,1.0,,9.0,6.0,,,6.0,,,93.0
31,"Sandilands, Aaron",6,5,4,10,1,,17.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,,4.0,6.0,,1.0,,,,46.0
3,"Schammer, Byron",7,5,2,9,,,,3.0,2.0,,1.0,,1.0,,,2.0,7.0,,,1.0,1.0,,70.0
22,"Thornton, Scott",7,3,3,10,,,,1.0,4.0,2.0,,2.0,1.0,,,4.0,6.0,,,3.0,,1.0,93.0
19,"Walker, James",8,8,9,17,,,,1.0,2.0,1.0,,,,,,4.0,13.0,,,1.0,,,90.0
1,"Webster, Luke",2,3,2,4,,,,,1.0,1.0,,2.0,,1.0,,1.0,3.0,,,2.0,,,59.0
6,"Woods, Dion",2,3,3,5,,,,,,,1.0,,,,,2.0,3.0,1.0,,4.0,,,70.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,107,94,290,12,8.0,23.0,39.0,38.0,45.0,22.0,45.0,22.0,17.0,1.0,101.0,189.0,11.0,13.0,38.0,14.0,7.0,
Opposition,Opposition,204,100,97,301,12,16.0,20.0,31.0,31.0,50.0,31.0,41.0,17.0,22.0,5.0,107.0,188.0,7.0,8.0,36.0,15.0,6.0,
