Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
29,"Ambrose, Patrick",24y 348d,48 (17-1-30 36.46%),20 (0.42),←,
24,"Bird, Craig",27y 206d,153 (86-2-65 56.86%),59 (0.39),16 (1-0-15 6.25%),3 (0.19)
28,"Brown, Mitch",25y 352d,34 (15-0-19 44.12%),29 (0.85),19 (2-0-17 10.53%),20 (1.05)
17,"Cooney, Adam",30y 319d,249 (109-2-138 44.18%),201 (0.81),30 (5-0-25 16.67%),15 (0.50)
6,"Daniher, Joe",22y 163d,68 (22-1-45 33.09%),101 (1.49),←,
49,"Dea, Matt",24y 306d,50 (15-1-34 31.00%),1 (0.02),19 (2-0-17 10.53%),
13,"Fantasia, Orazio",20y 335d,26 (4-1-21 17.31%),30 (1.15),←,
8,"Gleeson, Martin",21y 355d,49 (11-1-37 23.47%),4 (0.08),←,
54,"Grimley, Sam",25y 224d,7 (4-0-3 57.14%),8 (1.14),4 (1-0-3 25.00%),5 (1.25)
36,"Hartley, Michael",23y 68d,17 (2-0-15 11.76%),1 (0.06),←,
47,"Kelly, James",32y 229d,291 (187-1-103 64.43%),90 (0.31),18 (2-0-16 11.11%),2 (0.11)
33,"Laverde, Jayden",20y 124d,16 (3-0-13 18.75%),12 (0.75),←,
22,"Leuenberger, Matthew",28y 68d,126 (37-1-88 29.76%),29 (0.23),18 (2-0-16 11.11%),2 (0.11)
34,"Long, Jake",20y 193d,1 (1-0-0 100.00%),,←,
43,"McDonald-Tipungwuti, Anthony",23y 114d,19 (2-0-17 10.53%),4 (0.21),←,
45,"McKenna, Conor",20y 139d,12 (2-0-10 16.67%),5 (0.42),←,
20,"Merrett, Jackson",23y 169d,52 (23-0-29 44.23%),22 (0.42),←,
7,"Merrett, Zach",20y 316d,57 (18-1-38 32.46%),21 (0.37),←,
50,"Polkinghorne, James",27y 206d,101 (37-1-63 37.13%),54 (0.53),7 (1-0-6 14.29%),1 (0.14)
52,"Simpkin, Jonathan",28y 291d,41 (31-0-10 75.61%),17 (0.41),4 (1-0-3 25.00%),1 (0.25)
48,"Stokes, Mathew",31y 266d,199 (145-0-54 72.86%),209 (1.05),10 (2-0-8 20.00%),6 (0.60)
11,"Zaharakis, David",26y 175d,145 (63-2-80 44.14%),101 (0.70),←,
Totals,Totals,25y 43d,1761 (834-15-912 47.36%),1018 (0.58),,
C,"Worsfold, John",47y 324d,301 (151-2-148 50.50%),,20 (2-0-18 10.00%),
