Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
28,"Bell, Tom",7,3,2,9,,,,1.0,,2.0,,2.0,1.0,1.0,,3.0,6.0,,,,,,84.0
44,"Carrazzo, Andrew",8,2,11,19,,,,7.0,2.0,1.0,5.0,2.0,2.0,2.0,,12.0,8.0,,,2.0,,1.0,87.0
41,"Casboult, Levi",3,4,3,6,1,,10.0,3.0,,2.0,,1.0,,,,4.0,5.0,,1.0,6.0,,,84.0
35,"Curnow, Ed",5,2,9,14,,,,3.0,1.0,,,1.0,,1.0,,8.0,6.0,,,1.0,,,94.0
15,"Docherty, Sam",14,5,4,18,,,,4.0,3.0,3.0,2.0,4.0,,2.0,,6.0,13.0,,,3.0,,1.0,96.0
46,"Ellard, David",10,5,3,13,1,1.0,,7.0,2.0,1.0,1.0,3.0,,1.0,,5.0,8.0,,2.0,,,,70.0
4,"Gibbs, Bryce",13,4,7,20,,2.0,,7.0,2.0,4.0,3.0,2.0,,2.0,,7.0,13.0,,,1.0,1.0,,83.0
32,"Graham, Nick",7,3,3,10,1,1.0,,2.0,,,1.0,,2.0,,,5.0,5.0,1.0,,,,1.0,73.0
23,"Henderson, Lachie",13,5,5,18,,,,3.0,2.0,3.0,1.0,1.0,3.0,,,11.0,8.0,,,2.0,2.0,,94.0
40,"Jamison, Michael",9,9,3,12,,,,1.0,2.0,,,,,,,1.0,10.0,,,5.0,,,96.0
45 ↓,"Johnson, Blaine",2,1,1,3,,,,1.0,,1.0,,,1.0,,,2.0,1.0,,,3.0,,,65.0
5,"Judd, Chris",15,3,7,22,1,1.0,,4.0,2.0,4.0,9.0,1.0,2.0,,1.0,15.0,7.0,1.0,1.0,,,,70.0
14 ↑,"McLean, Brock",2,1,,2,,,,,,,,,,,,,2.0,,,1.0,,,19.0
3,"Murphy, Marc",15,1,6,21,2,3.0,,2.0,,3.0,8.0,4.0,7.0,1.0,,18.0,4.0,,1.0,,,,83.0
17,"Rowe, Sam",4,2,1,5,1,,,2.0,1.0,,,,,,,,4.0,,,5.0,,,89.0
6,"Simpson, Kade",20,11,3,23,1,,,2.0,3.0,1.0,,3.0,2.0,1.0,2.0,5.0,16.0,,,3.0,,1.0,92.0
39,"Thomas, Dale",24,12,5,29,,,,,6.0,4.0,2.0,4.0,,1.0,,4.0,23.0,,,3.0,,1.0,86.0
42,"Tuohy, Zach",7,3,3,10,,,,1.0,2.0,3.0,1.0,2.0,,,,2.0,6.0,,,,1.0,,94.0
30,"Waite, Jarrad",15,7,4,19,3,,,4.0,,3.0,1.0,3.0,2.0,1.0,,8.0,12.0,1.0,2.0,1.0,,,90.0
43,"White, Simon",4,4,5,9,,,1.0,1.0,1.0,,1.0,,,,,3.0,6.0,,,5.0,,,86.0
36,"Wood, Cameron",8,4,5,13,,1.0,12.0,3.0,1.0,2.0,3.0,3.0,,1.0,,4.0,9.0,,,6.0,,,76.0
13,"Yarran, Chris",19,9,1,20,,2.0,,1.0,5.0,3.0,1.0,2.0,,,,4.0,14.0,,1.0,3.0,2.0,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,100,91,315,11,12.0,23.0,59.0,35.0,40.0,39.0,38.0,22.0,14.0,3.0,127.0,186.0,3.0,8.0,50.0,6.0,5.0,
Opposition,Opposition,190,94,121,311,12,11.0,75.0,63.0,26.0,47.0,38.0,41.0,14.0,22.0,3.0,124.0,189.0,9.0,13.0,50.0,4.0,10.0,
