Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",27y 21d,200 (126-2-72 63.50%),269 (1.35),8 (2-0-6 25.00%),7 (0.88)
37,"Bennell, Harley",18y 245d,5 (1-0-4 20.00%),3 (0.60),←,
44,"Bock, Nathan",28y 76d,121 (62-0-59 51.24%),57 (0.47),8 (2-0-6 25.00%),
3,"Brennan, Jared",26y 311d,128 (57-3-68 45.70%),79 (0.62),9 (2-0-7 22.22%),4 (0.44)
30,"Brown, Campbell",27y 280d,164 (75-1-88 46.04%),64 (0.39),5 (0-0-5 0.00%),
39,"Day, Sam",18y 271d,4 (1-0-3 25.00%),1 (0.25),←,
17,"Fraser, Josh",29y 150d,205 (111-1-93 54.39%),159 (0.78),5 (1-0-4 20.00%),3 (0.60)
5,"Harbrow, Jarrod",22y 321d,79 (42-1-36 53.80%),21 (0.27),9 (2-0-7 22.22%),
21,"Harris, Daniel",29y 25d,157 (74-2-81 47.77%),46 (0.29),8 (2-0-6 25.00%),2 (0.25)
29,"Hine, Taylor",19y 131d,1 (0-0-1 0.00%),,←,
36,"Iles, Sam",23y 350d,13 (6-0-7 46.15%),4 (0.31),6 (2-0-4 33.33%),4 (0.67)
14,"Krakouer, Nathan",23y 30d,46 (22-0-24 47.83%),14 (0.30),6 (1-0-5 16.67%),7 (1.17)
46,"Lynch, Tom",18y 216d,4 (1-0-3 25.00%),7 (1.75),←,
45,"May, Steven",19y 145d,4 (0-0-4 0.00%),,←,
18,"McKenzie, Trent",19y 62d,9 (2-0-7 22.22%),5 (0.56),←,
41,"Prestia, Dion",18y 235d,5 (0-0-5 0.00%),1 (0.20),←,
35,"Rischitelli, Michael",25y 147d,120 (51-3-66 43.75%),51 (0.43),9 (2-0-7 22.22%),4 (0.44)
2,"Smith, Zac",21y 102d,9 (2-0-7 22.22%),10 (1.11),←,
25,"Stanley, Danny",23y 106d,14 (3-0-11 21.43%),6 (0.43),9 (2-0-7 22.22%),6 (0.67)
24,"Swallow, David",18y 197d,9 (2-0-7 22.22%),2 (0.22),←,
48,"Tape, Seb",18y 302d,7 (1-0-6 14.29%),,←,
4,"Weller, Maverick",19y 111d,5 (1-0-4 20.00%),,←,
Totals,Totals,22y 224d,1309 (640-13-656 48.89%),799 (0.61),,
C,"McKenna, Guy",42y 24d,9 (2-0-7 22.22%),,←,
