Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",14,2,12,26,,,,,,,,,1.0,,,,,,,,,,
18,"Cameron, Leon",11,6,5,16,,1.0,,,,,,,,1.0,,,,,,,,,
3,"Campbell, Adrian",8,4,4,12,,1.0,,,,,,,2.0,1.0,,,,,,,,,
17,"Charles, Justin",2,2,9,11,,,8.0,2.0,,,,,1.0,,,,,,,,,,
20,"Coleman, Glenn",14,8,13,27,,,6.0,,,,,,2.0,,1.0,,,,,,,,
4,"Davies, Darren",11,4,4,15,1,1.0,,1.0,,,,,2.0,,,,,,,,,,
26,"Del-Re, Danny",3,2,1,4,,1.0,,2.0,,,,,,1.0,,,,,,,,,
12,"Eppelstun, Greg",7,4,6,13,,,,,,,,,1.0,1.0,,,,,,,,,
32,"Foster, Peter",12,9,10,22,,,,1.0,,,,,3.0,3.0,,,,,,,,,
29,"Grant, Chris",9,8,1,10,2,5.0,,,,,,,,,,,,,,,,,
7,"Hawkins, Doug",10,3,5,15,1,,,,,,,,1.0,3.0,,,,,,,,,
43,"Hogg, Matthew",5,1,3,8,,,,1.0,,,,,,,,,,,,,,,
10,"Hunter, Mark",9,,3,12,,,,1.0,,,,,1.0,,,,,,,,,,
21,"Kolyniuk, Steven",6,1,7,13,2,,,1.0,,,,,1.0,1.0,,,,,,,,,
39,"Liberatore, Tony",10,2,19,29,,,,4.0,,,,,1.0,1.0,,,,,,,,,
11,"McGuinness, Tony",10,,7,17,2,1.0,,3.0,,,,,,,,,,,,,,,
14,"Reynolds, Keenan",7,,1,8,,,,2.0,,,,,1.0,,,,,,,,,,
33,"Royal, Brian",12,,11,23,1,,,2.0,,,,,,,,,,,,,,,
16,"Wallace, Terry",6,,5,11,,,,,,,,,,3.0,,,,,,,,,
24,"Wallis, Stephen",16,6,12,28,,,,1.0,,,,,1.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,62,138,320,9,12.0,14.0,21.0,,,,,18.0,17.0,1.0,,,,,,,,
Opposition,Opposition,195,75,149,344,16,13.0,21.0,35.0,,,,,16.0,17.0,5.0,,,,,,,,
