Notes,Previous,Current
Greater Western Sydney's highest score,"125 v Brisbane Lions - R13,2014","162 v Essendon - R23,2023"
Greater Western Sydney's biggest win,"66 v Gold Coast - R4,2015","126 v Essendon - R23,2023"
