Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",25y 295d,51 (35-0-16 68.63%),9 (0.18),←,
24,"Bews, Jed",27y 208d,119 (72-2-45 61.34%),15 (0.13),←,
46,"Blicavs, Mark",30y 104d,194 (129-2-63 67.01%),42 (0.22),←,
45,"Close, Brad",22y 345d,21 (16-0-5 76.19%),11 (0.52),←,
35,"Dangerfield, Patrick",31y 96d,276 (162-1-113 58.88%),302 (1.09),122 (81-1-40 66.80%),139 (1.14)
29,"Guthrie, Cameron",28y 325d,196 (129-2-65 66.33%),61 (0.31),←,
26,"Hawkins, Tom",32y 354d,293 (209-2-82 71.67%),640 (2.18),←,
25,"Henderson, Lachie",31y 208d,200 (106-2-92 53.50%),117 (0.58),83 (56-1-26 68.07%),13 (0.16)
38,"Henry, Jack",22y 315d,81 (54-0-27 66.67%),14 (0.17),←,
4,"Higgins, Shaun",33y 128d,248 (117-1-130 47.38%),227 (0.92),11 (9-0-2 81.82%),3 (0.27)
9,"Holmes, Max",18y 315d,6 (5-0-1 83.33%),1 (0.17),←,
8,"Kolodjashnij, Jake",25y 335d,123 (81-2-40 66.67%),,←,
27,"Menegola, Sam",29y 125d,100 (65-1-34 65.50%),72 (0.72),←,
32,"Miers, Gryan",22y 102d,55 (37-0-18 67.27%),56 (1.02),←,
19,"Narkle, Quinton",23y 219d,28 (17-0-11 60.71%),11 (0.39),←,
42,"OConnor, Mark",24y 174d,60 (39-0-21 65.00%),4 (0.07),←,
3,"Parfitt, Brandan",23y 74d,87 (62-0-25 71.26%),40 (0.46),←,
17,"Ratugolea, Esava",22y 351d,48 (34-0-14 70.83%),30 (0.63),←,
23,"Rohan, Gary",30y 33d,158 (107-1-50 68.04%),168 (1.06),52 (37-0-15 71.15%),72 (1.38)
7,"Smith, Isaac",32y 192d,226 (156-1-69 69.25%),177 (0.78),16 (12-0-4 75.00%),12 (0.75)
1,"Stanley, Rhys",30y 221d,154 (85-1-68 55.52%),99 (0.64),96 (64-1-31 67.19%),59 (0.61)
44,"Stewart, Tom",28y 117d,102 (68-0-34 66.67%),3 (0.03),←,
2,"Tuohy, Zach",31y 212d,220 (112-2-106 51.36%),77 (0.35),100 (64-1-35 64.50%),37 (0.37)
Totals,Totals,27y 163d,3046 (1897-20-1129 62.28%),2176 (0.71),,
C,"Scott, Chris",45y 68d,252 (174-2-76 69.44%),,←,
