Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
21,"Aleer, Leek",22y 278d,7 (3-0-4 42.86%),,←,
9,"Angwin, Ryan",21y 165d,17 (10-0-7 58.82%),1 (0.06),←,
14,"Bedford, Toby",23y 364d,48 (32-0-16 66.67%),27 (0.56),30 (20-0-10 66.67%),18 (0.60)
32,"Briggs, Kieren",24y 232d,37 (23-0-14 62.16%),7 (0.19),←,
5,"Cadman, Aaron",20y 83d,23 (14-0-9 60.87%),20 (0.87),←,
17,"Callaghan, Finn",21y 29d,36 (19-0-17 52.78%),6 (0.17),←,
3,"Coniglio, Stephen",30y 162d,210 (98-1-111 46.90%),119 (0.57),←,
16,"Daniels, Brent",25y 77d,93 (52-0-41 55.91%),59 (0.63),←,
4,"Greene, Toby",30y 243d,225 (107-2-116 48.00%),347 (1.54),←,
12,"Green, Tom",23y 123d,78 (37-1-40 48.08%),31 (0.40),←,
19,"Haynes, Nick",32y 7d,208 (99-4-105 48.56%),13 (0.06),←,
27,"Himmelberg, Harry",28y 17d,163 (89-2-72 55.21%),161 (0.99),←,
23,"Hogan, Jesse",29y 103d,151 (71-0-80 47.02%),305 (2.02),61 (30-0-31 49.18%),135 (2.21)
39,"Idun, Connor",23y 301d,79 (40-1-38 51.27%),,←,
31,"McMullin, Toby",19y 293d,5 (4-0-1 80.00%),1 (0.20),←,
33,"OHalloran, Xavier",23y 319d,57 (29-1-27 51.75%),20 (0.35),←,
20,"Peatling, James",23y 278d,33 (15-0-18 45.45%),12 (0.36),←,
36,"Perryman, Harry",25y 158d,118 (61-1-56 52.12%),27 (0.23),←,
26,"Riccardi, Jake",24y 200d,61 (31-0-30 50.82%),79 (1.30),←,
15,"Taylor, Sam",25y 20d,102 (56-0-46 54.90%),1 (0.01),←,
28,"Thomas, Harvey",18y 291d,11 (7-0-4 63.64%),4 (0.36),←,
10,"Wehr, Jacob",25y 325d,24 (12-0-12 50.00%),4 (0.17),←,
6,"Whitfield, Lachie",29y 312d,220 (109-4-107 50.45%),71 (0.32),←,
Totals,Totals,24y 349d,2006 (1018-17-971 50.75%),1315 (0.66),,
C,"Kingsley, Adam",48y 279d,37 (22-0-15 59.46%),,←,
