Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
8,"Bassett, Nathan",8,2,3,11,,,4.0,3.0,4.0,,2.0,1.0,3.0,,3.0,,,,,,,,
26,"Bickley, Mark",17,3,4,21,,,,5.0,,4.0,8.0,2.0,,3.0,,,,,,,,,
44,"Caven, Peter",6,1,3,9,,1.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,
14,"Connell, Matthew",7,2,3,10,,,,5.0,1.0,2.0,1.0,1.0,,2.0,,,,,,,,,
33,"Eccles, Andrew",5,2,2,7,,,1.0,2.0,,2.0,,,,,,,,,,,,,
13,"Ellen, Shane",1,,,1,,1.0,,,,,,,,,,,,,,,,,
34,"Hart, Ben",9,1,,9,,,1.0,2.0,2.0,3.0,,4.0,1.0,,,,,,,,,,
11,"James, Brett",5,1,12,17,2,,,4.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,
3,"Jarman, Darren",12,1,3,15,2,2.0,,1.0,,4.0,3.0,,4.0,,,,,,,,,,
28,"Johnson, Kane",8,,4,12,,,,2.0,3.0,1.0,3.0,,3.0,2.0,,,,,,,,,
5,"Koster, Kym",13,3,4,17,1,,,6.0,1.0,5.0,1.0,2.0,1.0,2.0,,,,,,,,,
23,"McLeod, Andrew",13,3,5,18,1,2.0,,1.0,1.0,7.0,,3.0,2.0,,,,,,,,,,
21,"Ormond-Allen, Trent",10,2,1,11,,,1.0,2.0,2.0,1.0,3.0,2.0,,,,,,,,,,,
4,"Picioane, Lance",8,1,2,10,,,,2.0,,1.0,3.0,2.0,,,,,,,,,,,
15,"Pittman, David",4,,1,5,,1.0,4.0,1.0,,2.0,,,2.0,1.0,,,,,,,,,
52,"Rehn, Shaun",6,2,7,13,,1.0,26.0,3.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,
32,"Ricciuto, Mark",20,2,2,22,,1.0,1.0,6.0,2.0,5.0,2.0,3.0,2.0,4.0,,,,,,,,,
42,"Rintoul, Chad",14,2,3,17,1,,,3.0,2.0,3.0,2.0,,2.0,,,,,,,,,,
24,"Sampson, Clay",4,,4,8,,1.0,,6.0,,1.0,2.0,1.0,,1.0,,,,,,,,,
7,"Smart, Nigel",11,4,3,14,,,1.0,5.0,2.0,1.0,,,1.0,,,,,,,,,,
19,"Stevens, Mark",7,4,7,14,1,2.0,1.0,2.0,,3.0,,,1.0,,,,,,,,,,
29,"Thiessen, James",13,2,5,18,,,,1.0,2.0,,2.0,4.0,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,38,78,279,8,16.0,42.0,65.0,26.0,48.0,37.0,28.0,27.0,19.0,3.0,,,,,,,,
Opposition,Opposition,185,44,119,304,11,7.0,50.0,56.0,32.0,43.0,45.0,23.0,19.0,27.0,3.0,,,,,,,,
